inquiry,committee,report,response
2017-18 annual reports of bodies established under the ASIC Act,Parliamentary Joint Committee on Corporations and Financial Services,Report tabled: 2/4/2019,Response tabled: 13/8/2024
87th annual report,Parliamentary Standing Committee on Public Works,Report tabled: 14/5/2024,Response tabled: 20/8/2024
A claim of public interest immunity raised over documents,Legal and Constitutional Affairs References Committee,Report tabled: 6/3/2014,"Response presented: 20/6/2024
Response tabled: 24/6/2024"
Adequacy of Newstart and related payments and alternative mechanisms to determine the level of income support payments in Australia,Community Affairs References Committee,"Report presented: 30/4/2020
Report tabled: 12/5/2020","Response presented: 3/10/2024
Response tabled: 8/10/2024"
Administration and expenditure of funding under the Urban Congestion Fund (UCF),Finance and Public Administration References Committee,Report tabled: 2/12/2021,"Response presented: 7/6/2024
Response tabled: 24/6/2024"
Administration of registration and notifications by the Australian Health Practitioner Regulation Agency and related entities under the Health Practitioner Regulation National Law,Community Affairs References Committee,"Report presented: 1/4/2022
Report tabled: 26/7/2022","Response presented: 3/10/2024
Response tabled: 8/10/2024"
Aged Care and Other Legislation Amendment (Royal Commission Response No. 2) Bill 2021 [Provisions],Community Affairs Legislation Committee,"Report presented: 16/11/2021
Report tabled: 22/11/2021","Response presented: 18/1/2024
Response tabled: 6/2/2024"
Agreement between the Government of Australia and the Government of the Republic of Fiji on Cooperation in the Field of Defence and the Status of Visiting Forces,Joint Standing Committee on Treaties,"218th report: Fiji Status of Forces; UK Accession CPTPP; IPEF; ILO 191
Report tabled: 15/8/2024","Response presented: 14/11/2024
Response tabled: 18/11/2024"
Air Services Amendment Bill 2018,Rural and Regional Affairs and Transport Legislation Committee,Report tabled: 16/8/2018,"Response presented: 7/6/2024
Response tabled: 24/6/2024"
All aspects of the conduct of the 2013 Federal Election and matters related thereto,Joint Standing Committee on Electoral Matters,"Interim report: Senate voting practices
Report presented: 9/5/2014
Report tabled: 13/5/2014
Second interim report: An assessment of electronic voting options
Report tabled: 24/11/2014
Final report
Report presented: 15/4/2015
Report tabled: 11/5/2015","Interim report
Response tabled: 14/5/2024
Second interim report
Response tabled: 14/5/2024
Final report
Response tabled: 14/5/2024"
All aspects of the conduct of the 2016 Federal Election and matters related thereto,Joint Standing Committee on Electoral Matters,"Interim report: Authorisation of voter communication
Report presented: 9/12/2016
Report tabled: 7/2/2017
Second interim report: 2016 Federal election: Foreign donations
Report presented: 10/3/2017
Report tabled: 20/3/2017
Third interim report: 2016 Federal election: AEC modernisation
Report tabled: 22/6/2017
Final report
Report tabled: 14/2/2019","Response to the second interim report included with response to advisory reports into the Electoral Legislation Amendment (Electoral Funding and Disclosure Reform) Bill 2017
Response tabled: 14/11/2018
Third interim report
Response tabled: 14/5/2024
Final report
Response tabled: 14/5/2024"
All aspects of the conduct of the 2019 Federal Election and matters related thereto,Joint Standing Committee on Electoral Matters,"Interim report: Delegation to the International Grand Committee, Dublin, Ireland
Report presented: 19/5/2020
Report tabled: 10/6/2020
Final report
Report tabled: 10/12/2020","Final report
Response tabled: 14/5/2024
Interim report
Response tabled: 14/5/2024"
An Australian republic,Legal and Constitutional Affairs References Committee,"The road to a republic
Report presented: 31/8/2004
Report tabled: 16/11/2004","Response presented: 20/6/2024
Response tabled: 24/6/2024"
Annual Report of Committee Activities 2021-2022,Parliamentary Joint Committee on Intelligence and Security,"Report presented: 23/2/2023
Report tabled: 6/3/2023",Response tabled: 25/6/2024
Assessment and support services for people with ADHD,Community Affairs References Committee,Report tabled: 6/11/2023,"Response presented: 12/12/2024
Response tabled: 4/2/2025"
ATO Proposed fitout of 152 Wharf Street Brisbane,Parliamentary Standing Committee on Public Works,"2nd report of 2020 - Referrals made November 2019 and February 2020
Report presented: 7/5/2020
Report tabled: 12/5/2020","Response presented: 20/6/2024
Response tabled: 24/6/2024"
