inquiry,committee,report,response
Adequacy and efficacy of Australia’s anti-money laundering and counter-terrorism financing (AML/CTF) regime,Legal and Constitutional Affairs References Committee,Report tabled: 30/3/2022,"Response presented: 20/4/2023
Response tabled: 9/5/2023"
"Adequacy of Australia’s biosecurity measures and response preparedness, in particular with respect to foot-and-mouth disease and varroa mite",Rural and Regional Affairs and Transport References Committee,"Report presented: 8/12/2022
Report tabled: 6/2/2023",Response tabled: 12/9/2023
Administration of the referendum into an Aboriginal and Torres Strait Islander Voice,Finance and Public Administration References Committee,"Report presented: 9/6/2023
Report tabled: 13/6/2023",Response tabled: 14/9/2023
Amendments 2020 - CITES,Joint Standing Committee on Treaties,"194th report - Amendments 2020 - CITES
Report tabled: 16/3/2021",Response tabled: 9/2/2023
Anti-Discrimination and Human Rights Legislation Amendment (Respect at Work) Bill 2022,Legal and Constitutional Affairs Legislation Committee,"Report presented: 3/11/2022
Report tabled: 21/11/2022","Response presented: 25/1/2023
Response tabled: 6/2/2023"
Australian War Memorial Development Project,Parliamentary Standing Committee on Public Works,"1st report of 2021
Report tabled: 23/2/2021",Response tabled: 14/6/2023
Budget estimates 2022-23,Finance and Public Administration Legislation Committee,"Report presented: 22/12/2022
Report tabled: 6/2/2023",Response tabled: 9/5/2023
"Community safety, support services and job opportunities in the Northern Territory",Joint Standing Committee on Aboriginal and Torres Strait Islander Affairs,"Report presented: 1/3/2023
Report tabled: 6/3/2023","Response presented: 6/7/2023
Response tabled: 31/7/2023"
Conduct of the 2022 federal election and other matters,Joint Standing Committee on Electoral Matters,"Interim report
Report tabled: 20/6/2023
Final report
Report tabled: 29/11/2023","Interim report
Response tabled: 9/11/2023
Final report
Response presented: 6/3/2025
Response tabled: 25/3/2025"
Current scheme implementation and forecasting for the NDIS,Joint Standing Committee on the National Disability Insurance Scheme,"Report presented: 4/4/2022
Report tabled: 26/7/2022","Response presented: 2/2/2023
Response tabled: 6/2/2023"
Data Availability and Transparency Bill 2020 [Provisions] and Data Availability and Transparency (Consequential Amendments) Bill 2020 [Provisions],Finance and Public Administration Legislation Committee,"Report presented: 29/4/2021
Report tabled: 11/5/2021",Response tabled: 21/3/2023
Defence Industry Security Program Auditor-General’s Report,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 20/6/2023,"Response presented: 23/11/2023
Response tabled: 27/11/2023
Response tabled: 4/2/2025"
Department of Defence Annual Report 2019-20,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 30/11/2021,Response tabled: 1/8/2023
"Fair Work Legislation Amendment (Secure Jobs, Better Pay) Bill 2022",Education and Employment Legislation Committee,Report tabled: 22/11/2022,Response tabled: 22/3/2023
Future of Work and Workers,Select Committee on the Future of Work and Workers,"Hope is note a strategy - Our shared responsibility for the future of work and workers
Report tabled: 19/9/2018",Response tabled: 22/3/2023
General issues around the implementation and performance of the NDIS,Joint Standing Committee on the National Disability Insurance Scheme,"Report tabled: 10/12/2020
General issues 2021
Report tabled: 1/12/2021
Work of the committee in the 46th Parliament
Report presented: 4/4/2022
Report tabled: 26/7/2022","Response presented: 20/5/2021
Response tabled: 15/6/2021
General issues 2021
Response tabled: 9/2/2023"
Human rights implications of recent violence in Iran,"Foreign Affairs, Defence and Trade References Committee","Report presented: 1/2/2023
Report tabled: 6/2/2023",Response tabled: 13/9/2023
Human rights of women and girls in the Pacific,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 30/11/2021,"Response presented: 23/2/2023
Response tabled: 6/3/2023"
Implementation of the National Redress Scheme,Joint Select Committee on Implementation of the National Redress Scheme,"First interim report
Report presented: 7/5/2020
Report tabled: 12/5/2020
Second interim report
Report tabled: 23/11/2021
Final report - Redress: Journey to justice
Report tabled: 26/11/2024","First interim report
Response presented: 30/9/2021
Response tabled: 18/10/2021
Second interim report
Response presented: 27/7/2023
Response tabled: 31/7/2023
Final report
Response tabled: 4/3/2026"
Independent Assessments,Joint Standing Committee on the National Disability Insurance Scheme,Report tabled: 20/10/2021,"Response presented: 2/3/2023
Response tabled: 6/3/2023"
Inquiry into Commonwealth Financial Statements 2021–22,Joint Committee of Public Accounts and Audit,"497th report
Report presented: 29/6/2023
Report tabled: 31/7/2023",Response tabled: 14/11/2023
Inquiry into the Aboriginal and Torres Strait Islander Voice Referendum,Joint Select Committee on the Aboriginal and Torres Strait Islander Voice Referendum,"Advisory report on the Constitution Alteration (Aboriginal and Torres Strait Islander Voice) 2023
Report presented: 12/5/2023
Report tabled: 13/6/2023",Response tabled: 14/6/2023
International armed conflict decision making,"Joint Standing Committee on Foreign Affairs, Defence and Trade","Report presented: 31/3/2023
Report tabled: 9/5/2023",Response tabled: 9/8/2023
Item 250 of the National Anti-Corruption Commission (Consequential and Transitional Provisions) Bill 2022,Parliamentary Joint Committee on Intelligence and Security,Report tabled: 30/3/2023,"Response presented: 13/7/2023
Response tabled: 31/7/2023"
Joint Select Committee on Australia's Family Law System,Joint Select Committee on Australia’s Family Law System,"Improvements in family law proceedings - First interim report
Report tabled: 8/10/2020
Improvements in family law proceedings - Second interim report
Report tabled: 16/3/2021
Australia's child support scheme - Third interim report
Report tabled: 23/11/2021
Final report
Report tabled: 23/11/2021","Interim reports and final report
Response presented: 25/1/2023
Response tabled: 6/2/2023"
LAND 121 Stage 5B Facilities Project,Parliamentary Standing Committee on Public Works,"3rd report of 2020 - Referrals made November 2019 and February 2020
Report tabled: 11/6/2020","Response presented: 19/1/2023
Response tabled: 6/2/2023"
National Disability Insurance Scheme Amendment (Participant Service Guarantee and Other Measures) Bill 2021,Community Affairs Legislation Committee,"Report tabled: 25/11/2021
Dissenting report from Opposition senators
Report tabled: 2/12/2021","Response presented: 13/7/2023
Response tabled: 31/7/2023"
National security risks affecting the Australian higher education and research sector,Parliamentary Joint Committee on Intelligence and Security,"Report presented: 25/3/2022
Report tabled: 28/3/2022",Response tabled: 7/3/2023
National Vocational Education and Training Regulator (Data Streamlining) Amendment Bill 2023 [Provisions],Education and Employment Legislation Committee,"Report presented: 14/4/2023
Report tabled: 9/5/2023","Response presented: 11/10/2023
Response tabled: 16/10/2023"
NDIS Quality and Safeguards Commission,Joint Standing Committee on the National Disability Insurance Scheme,Report tabled: 1/12/2021,"Response presented: 20/4/2023
Response tabled: 9/5/2023"
Practice of dowry and the incidence of dowry abuse in Australia,Legal and Constitutional Affairs References Committee,Report tabled: 14/2/2019,Response tabled: 7/12/2023
Public communications campaigns targeting drug and substance abuse,Parliamentary Joint Committee on Law Enforcement,Report tabled: 12/5/2021,Response tabled: 14/11/2023
Referendum (Machinery Provisions) Amendment Bill 2022,Joint Standing Committee on Electoral Matters,"Advisory report
Report tabled: 7/3/2023",Response tabled: 14/6/2023
Regulation of the use of financial services such as credit cards and digital wallets for online gambling in Australia,Parliamentary Joint Committee on Corporations and Financial Services,Report tabled: 23/11/2021,Response tabled: 9/5/2023
Review of Administration and Expenditure No. 20 (2020–21) – Australian Intelligence Agencies,Parliamentary Joint Committee on Intelligence and Security,Report tabled: 1/8/2023,"Response presented: 30/10/2023
Response tabled: 6/11/2023"
Review of AFP Powers,Parliamentary Joint Committee on Intelligence and Security,"Review of police powers in relation to terrorism, the control order regime, the preventative detention order regime and the continuing detention order regime
Report presented: 14/10/2021
Report tabled: 14/10/2021",Response tabled: 14/9/2023
Review of the Counter-Terrorism (Temporary Exclusion Orders) Act 2019,Parliamentary Joint Committee on Intelligence and Security,Report tabled: 11/5/2023,Response tabled: 30/11/2023
Review of the Inspector-General of Intelligence and Security and Other Legislation Amendment (Modernisation) Bill 2022,Parliamentary Joint Committee on Intelligence and Security,"Advisory report
Report tabled: 21/3/2023","Response presented: 27/7/2023
Response tabled: 31/7/2023"
Review of the mandatory data retention regime,Parliamentary Joint Committee on Intelligence and Security,Report tabled: 10/11/2020,"Response presented: 20/2/2023
Response tabled: 6/3/2023"
Review of the National Security Legislation Amendment (Comprehensive Review and Other Measures No. 2) Bill 2023,Parliamentary Joint Committee on Intelligence and Security,"Advisory report
Report presented: 15/5/2023
Report tabled: 13/6/2023",Response tabled: 2/8/2023
Road safety,Joint Select Committee on Road Safety,"Driving reform
Report presented: 25/3/2022
Report tabled: 28/3/2022","Response presented: 9/10/2023
Response tabled: 16/10/2023"
Select Committee on the effectiveness of the Australian Government’s Northern Australia agenda,Select Committee on the effectiveness of the Australian Government’s Northern Australia agenda,"Interim report
Report tabled: 3/12/2020
Final report
Report presented: 28/4/2021
Report tabled: 11/5/2021","Final report
Response presented: 14/12/2023
Response tabled: 6/2/2024"
Shark mitigation and deterrent measures,Environment and Communications References Committee,"Report presented: 12/12/2017
Report tabled: 5/2/2018",Response tabled: 7/12/2023
