inquiry,committee,report,response
2016 Census,Economics References Committee,"Issues of trust
Report tabled: 24/11/2016","Response presented: 27/2/2017
Response tabled: 20/3/2017"
Accommodation for people with disabilities and the NDIS,Joint Standing Committee on the National Disability Insurance Scheme,Report tabled: 31/8/2016,Response tabled: 14/11/2017
"Adequacy of existing residential care arrangements available for young people with severe physical, mental or intellectual disabilities in Australia",Community Affairs References Committee,Report tabled: 24/6/2015,Response tabled: 7/2/2017
Airport and aviation security,Rural and Regional Affairs and Transport References Committee,Report tabled: 30/3/2017,"Response presented: 24/7/2017
Response tabled: 8/8/2017"
Annual reports referred to legislation committees,Environment and Communications Legislation Committee,"No. 1 of 2016
Report tabled: 2/3/2016",Response tabled: 22/3/2017
Annual reports referred to legislation committees,Legal and Constitutional Affairs Legislation Committee,"No. 1 of 2015
Report tabled: 17/3/2015",Response tabled: 22/3/2017
Annual reports referred to legislation cttees,Rural and Regional Affairs and Transport Legislation Committee,"No. 1 of 2015
Report tabled: 17/3/2015","Response presented: 14/3/2017
Response tabled: 20/3/2017"
Australia's Advocacy for the Abolition of the Death Penalty,"Joint Standing Committee on Foreign Affairs, Defence and Trade","A world without the death penalty
Report tabled: 31/8/2016",Response tabled: 21/3/2017
Australia's environment,Environment and Communications References Committee,Report tabled: 23/6/2015,"Response presented: 21/4/2017
Response tabled: 9/5/2017"
Australia's general insurance industry,Economics References Committee,"Sapping consumers of the will to compare
Report tabled: 10/8/2017","Response presented: 20/12/2017
Response tabled: 5/2/2018"
Australian grape and wine industry,Rural and Regional Affairs and Transport References Committee,"Report presented: 12/2/2016
Report tabled: 22/2/2016","Response presented: 13/7/2017
Response tabled: 8/8/2017"
"Availability of new, innovative and specialist cancer drugs in Australia",Community Affairs References Committee,Report tabled: 17/9/2015,"Response presented: 7/11/2017
Response tabled: 13/11/2017"
Beef Imports into Australia,Rural and Regional Affairs and Transport References Committee,"First report
Report presented: 12/7/2013
Report tabled: 12/11/2013","Response presented: 24/8/2017
Response tabled: 4/9/2017"
Business Innovation and Investment Programme,Joint Standing Committee on Migration,Report tabled: 25/3/2015,Response tabled: 23/3/2017
Care and management of younger and older Australians living with dementia and behavioural and psychiatric symptoms of dementia (BPSD),Community Affairs References Committee,Report tabled: 26/3/2014,Response tabled: 5/12/2017
Commonwealth Procurement Framework,Joint Select Committee on Government Procurement,"Buying into our future: Review of amendments to the Commonwealth Procurement Rules
Report presented: 29/6/2017
Report tabled: 8/8/2017",Response tabled: 14/11/2017
Competition and Consumer Amendment (Misuse of Market Power) Bill 2016,Economics Legislation Committee,Report tabled: 16/2/2017,Response tabled: 5/12/2017
Continuation of construction of the Perth Freight Link in the face of significant environmental breaches,Environment and Communications References Committee,"Report presented: 6/3/2017
Report tabled: 20/3/2017","Response presented: 10/7/2017
Response tabled: 8/8/2017"
"Cooperative, mutual and member-owned firms",Economics References Committee,Report tabled: 17/3/2016,"Response presented: 8/11/2017
Response tabled: 13/11/2017"
Current and future arrangements for the marketing of Australian sugar,Rural and Regional Affairs and Transport References Committee,Report tabled: 24/6/2015,"Response presented: 15/9/2017
Response tabled: 16/10/2017"
"Current levels of access and attainment for students with disability in the school system, and the impact on students and families associated with inadequate levels of support",Education and Employment References Committee,"Access to real learning: the impact of policy, funding and culture on students with disability
Report presented: 15/1/2016
Report tabled: 2/2/2016",Response tabled: 30/3/2017
Decision to commit funding to the Perth Freight Link project,Rural and Regional Affairs and Transport References Committee,Report tabled: 3/5/2016,"Response presented: 3/8/2017
Response tabled: 8/8/2017"
Department of Defence's management of credit and other transaction cards,"Foreign Affairs, Defence and Trade References Committee",Report tabled: 11/5/2017,Response tabled: 5/9/2017
"Design, scope, cost-benefit analysis, contracts awarded and implementation associated with the Better Management of the Social Welfare System initiative",Community Affairs References Committee,Report tabled: 21/6/2017,"Response presented: 28/9/2017
Response tabled: 16/10/2017"
Development of Northern Australia,Joint Select Committee on Northern Australia,"Final report - Pivot north
Report tabled: 4/9/2014
Interim report - Scaling up: Inquiry into opportunities for expanding aquaculture in Northern Australia
Report tabled: 23/2/2016","Final report - interim response
Response tabled: 10/2/2015
Interim report
Response tabled: 13/6/2017
Final report
Response tabled: 5/12/2017"
Domestic violence in Australia,Finance and Public Administration References Committee,"Interim report
Report tabled: 19/3/2015
Final report
Report tabled: 20/8/2015","Interim and final reports
Response presented: 17/5/2017
Response tabled: 13/6/2017"
Environmental Biosecurity,Environment and Communications References Committee,Report tabled: 13/5/2015,"Response presented: 28/6/2017
Response tabled: 8/8/2017"
"Environmental, social and economic impacts of large-capacity fishing vessels commonly known as 'Supertrawlers' operating in Australia's marine jurisdiction",Environment and Communications References Committee,"Factor freezer trawlers in the Commonwealth Small Pelagic Fishery
Report tabled: 23/11/2016",Response tabled: 6/12/2017
Establishment of a national registration system for Australian paramedics to improve and ensure patient and community safety,Legal and Constitutional Affairs References Committee,"Report presented: 5/5/2016
Report tabled: 30/8/2016",Response tabled: 18/10/2017
Examination of the 2012-13 annual reports of bodies established under the ASIC Act,Parliamentary Joint Committee on Corporations and Financial Services,Report tabled: 19/3/2014,Response tabled: 21/6/2017
Examination of the 2014-15 annual reports of bodies established under the ASIC Act,Parliamentary Joint Committee on Corporations and Financial Services,Report tabled: 4/5/2016,Response tabled: 7/2/2017
Examination of the Australian Federal Police annual report 2014-15,Parliamentary Joint Committee on Law Enforcement,Report tabled: 13/6/2017,"Response presented: 20/9/2017
Response tabled: 16/10/2017"
Export Finance and Insurance Corporation Amendment (Support for Commonwealth Entities) Bill 2016,"Foreign Affairs, Defence and Trade Legislation Committee",Report tabled: 7/2/2017,"Response presented: 4/5/2017
Response tabled: 9/5/2017"
Family Assistance Legislation Amendment (Jobs for Families Child Care Package) Bill 2015,Education and Employment Legislation Committee,"Report presented: 4/4/2016
Report tabled: 18/4/2016","Response tabled: 9/2/2017
Attachment to government response
Response tabled: 30/3/2017"
Family Assistance Legislation Amendment (Jobs for Families Child Care Package) Bill 2016 and the Social Services Legislation Amendment (Family Payments Structural Reform and Participation Measures) Bill 2016,Education and Employment Legislation Committee,Report tabled: 10/10/2016,"Response tabled: 9/2/2017
Attachment to government response
Response tabled: 30/3/2017"
Foreign investment review framework,Economics References Committee,"Interim report
Report tabled: 4/2/2016
Final report
Report presented: 8/4/2016
Report tabled: 18/4/2016
Supplementary report
Report presented: 28/4/2016
Report tabled: 2/5/2016","Final report
Response tabled: 28/3/2017"
Future of Australia’s automotive industry,Economics References Committee,"Driving jobs and investment
Report tabled: 1/12/2015",Response tabled: 4/9/2017
Future of Australia’s naval shipbuilding industry,Economics References Committee,"Part 1 - Tender process for the navy's new supply ships
Report tabled: 27/8/2014
Part 2 - Future submarines
Report tabled: 17/11/2014
Part 3 - Long-term planning
Report presented: 1/7/2015
Report tabled: 10/8/2015","Part 1
Response presented: 7/5/2015
Response tabled: 11/5/2015
Part 2
Response tabled: 21/3/2017
Part 3
Response tabled: 21/3/2017"
Future Submarine Program - France,Joint Standing Committee on Treaties,"169th report: Future Submarine Program - France, Classified Information Exchange - France
Report presented: 13/4/2017
Report tabled: 9/5/2017",Response tabled: 14/11/2017
Governance in the Indian Ocean Territories,Joint Standing Committee on the National Capital and External Territories,"Governance in the Indian Ocean Territories - Economic development
Report tabled: 24/6/2015
Governance in the Indian Ocean Territories - Economic development and governance
Report tabled: 17/3/2016","Response presented: 6/3/2017
Response tabled: 20/3/2017"
Government's APS Bargaining Policy,Education and Employment References Committee,"Siege of attrition
Report tabled: 30/11/2016","Response presented: 28/2/2017
Response tabled: 20/3/2017"
Growing evidence of an emerging tick-borne disease that causes a Lyme-like illness for many Australian patients,Community Affairs References Committee,"Interim report
Report tabled: 4/5/2016
Final report
Report tabled: 30/11/2016","Interim report
Response tabled: 9/11/2016
Final report
Response tabled: 15/11/2017"
Harm being done to Australian children through access to pornography on the Internet,Environment and Communications References Committee,Report tabled: 23/11/2016,"Response presented: 20/4/2017
Response tabled: 9/5/2017"
