inquiry,committee,report,response
Agricultural and Veterinary Chemicals Legislation Amendment (Australian Pesticides and Veterinary Medicines Authority Board and Other Improvements) Bill 2019 [Provisions],Rural and Regional Affairs and Transport Legislation Committee,Report tabled: 28/11/2019,"Response presented: 13/3/2020
Response tabled: 23/3/2020"
"Appropriateness and effectiveness of the objectives, design, implementation and evaluation of jobactive",Education and Employment References Committee,"Jobactive: failing those it is intended to serve
Report tabled: 14/2/2019","Response presented: 28/5/2020
Response tabled: 10/6/2020"
Aspects of road safety in Australia,Rural and Regional Affairs and Transport References Committee,"Aspects of road safety in Australia
Report presented: 26/10/2017
Report tabled: 13/11/2017",Response tabled: 18/6/2020
Australia-Hong Kong Free Trade Agreement,Joint Standing Committee on Treaties,"Report 186 - Australia-Hong Kong Free Trade Agreement and Indonesia-Australia Comprehensive Economic Partnership Agreement
Report presented: 9/10/2019
Report tabled: 14/10/2019","Response presented: 19/2/2020
Response tabled: 24/2/2020"
Australia’s faunal extinction crisis,Environment and Communications References Committee,"Australia's faunal extinction crisis
Interim report
Report tabled: 3/4/2019
Environmental protections for native grasslands, and the conduct of Ministers
Report tabled: 4/12/2019","Interim report
Response presented: 24/9/2020
Response tabled: 6/10/2020
Updated government response to interim report
Response tabled: 7/10/2020"
Australia’s Foreign Relations (State and Territory Arrangements) Bill 2020 and Australia’s Foreign Relations (State and Territory Arrangements) (Consequential Amendments) Bill 2020,"Foreign Affairs, Defence and Trade Legislation Committee","Report presented: 5/11/2020
Report tabled: 9/11/2020","Response presented: 17/11/2020
Response tabled: 30/11/2020"
Charity Fundraising in the 21st Century,Select Committee on Charity Fundraising in the 21st Century,"Charity Fundraising in the 21st Century
Report tabled: 14/2/2019",Response tabled: 10/11/2020
Current requirements for labelling of seafood and seafood products,Rural and Regional Affairs and Transport References Committee,"Report presented: 18/12/2014
Report tabled: 9/2/2015","Response tabled: 10/12/2020
Response presented: 23/5/2024
Response tabled: 24/6/2024"
Effect of red tape on private education,Red Tape Committee,"8th interim report
Report tabled: 29/11/2018",Response tabled: 5/2/2020
"Effectiveness of the Aged Care Quality Assessment and accreditation framework for protecting residents from abuse and poor practices, and ensuring proper clinical and medical care standards are maintained and practised",Community Affairs References Committee,"Interim report
Report tabled: 13/2/2018
Final report
Report tabled: 3/4/2019","Interim report
Response tabled: 26/6/2018
Final report
Response presented: 25/6/2020
Response tabled: 24/8/2020"
Establishing a Modern Slavery Act in Australia,"Joint Standing Committee on Foreign Affairs, Defence and Trade","Modern slavery and global supply chains: An inquiry into establishing a Modern Slavery Act in Australia
Report tabled: 5/9/2017
Hidden in plain sight: An inquiry into establishing a Modern Slavery Act in Australia
Report tabled: 7/12/2017","Modern slavery and global supply chains
Response presented: 9/10/2020
Response tabled: 9/11/2020
Hidden in plain sight
Response presented: 9/10/2020
Response tabled: 9/11/2020"
Examination of the Annual Report of Integrity Commissioner 2016-17,Parliamentary Joint Committee on the Australian Commission for Law Enforcement Integrity,Report tabled: 3/4/2019,"Response presented: 17/12/2020
Response tabled: 2/2/2021"
