inquiry,committee,report,response
Annual reports referred to legislation committees,Finance and Public Administration Legislation Committee,"No. 1 of 2015
Report tabled: 17/3/2015",Response tabled: 4/2/2016
Australia's Innovation System,Economics References Committee,Report tabled: 3/12/2015,"Response presented: 20/12/2016
Response tabled: 7/2/2017"
Australia's transport energy resilience and sustainability,Rural and Regional Affairs and Transport References Committee,Report tabled: 25/6/2015,Response tabled: 10/11/2016
Australia’s future activities and responsibilities in the Southern Ocean and Antarctic waters,"Foreign Affairs, Defence and Trade References Committee",Report tabled: 29/10/2014,Response tabled: 4/2/2016
Australia’s relationship with Mexico,"Foreign Affairs, Defence and Trade References Committee",Report tabled: 2/12/2015,Response tabled: 30/11/2016
Business experience in utilising Australia’s Free Trade Agreements,Joint Select Committee on Trade and Investment Growth,Report tabled: 15/10/2015,Response tabled: 17/3/2016
Capability of Defence's physical science and engineering (PSE) workforce,"Foreign Affairs, Defence and Trade References Committee","Report presented: 1/4/2016
Report tabled: 18/4/2016",Response tabled: 8/11/2016
"Contamination of Australian Defence Force facilities and other Commonwealth, state and territory sites in Australia","Foreign Affairs, Defence and Trade References Committee","Part A - RAAF Base Williamtown
Report tabled: 4/2/2016
Part B - Army Aviation Centre Oakey and other Commonwealth state and territory sites
Report tabled: 4/5/2016","Part A
Response presented: 15/4/2016
Response tabled: 18/4/2016"
Defence Legislation Amendment (Military Justice Enhancements—Inspector-General ADF) Bill 2014,"Foreign Affairs, Defence and Trade Legislation Committee",Report tabled: 3/3/2015,Response tabled: 1/9/2016
Delivery and effectiveness of Australia’s bilateral aid program in Papua New Guinea,"Foreign Affairs, Defence and Trade References Committee",Report tabled: 4/5/2016,Response tabled: 8/11/2016
Development of Commonwealth Performance Framework,Joint Committee of Public Accounts and Audit,"453rd report―Development of the Commonwealth Performance Framework
Report presented: 18/12/2015
Report tabled: 2/2/2016",Response tabled: 11/10/2016
Digital currency,Economics References Committee,"Digital currency - game changer or bit player
Report presented: 4/8/2015
Report tabled: 10/8/2015","Response presented: 5/5/2016
Response tabled: 30/8/2016"
Examination of the Australian Federal Police annual report 2013-14,Parliamentary Joint Committee on Law Enforcement,Report tabled: 15/9/2015,Response tabled: 23/2/2016
Exposure draft of the Medical Services (Dying with Dignity) Bill 2014,Legal and Constitutional Affairs Legislation Committee,"Report presented: 10/11/2014
Report tabled: 17/11/2014",Response tabled: 23/11/2016
Extent of income inequality in Australia,Community Affairs References Committee,"Bridging our growing divide: inequality in Australia
Report tabled: 3/12/2014","Response presented: 21/12/2016
Response tabled: 7/2/2017"
"Feasibility of, and options for, creating a national long service standard, and the portability of long service and other entitlements",Education and Employment References Committee,Report tabled: 25/2/2016,Response tabled: 14/9/2016
Forestry managed investment schemes,Economics References Committee,"Agribusiness managed investment schemes: Bitter harvest
Report presented: 11/3/2016
Report tabled: 15/3/2016",Response tabled: 29/11/2016
Government Support for Australian Defence Industry Exports,"Joint Standing Committee on Foreign Affairs, Defence and Trade","Principles and practice - Australian defence industry and exports
Report tabled: 1/12/2015",Response tabled: 1/9/2016
Grandparents who take primary responsibility for raising their grandchildren,Community Affairs References Committee,Report tabled: 29/10/2014,"Response presented: 15/1/2016
Response tabled: 2/2/2016"
Great Barrier Reef,Environment and Communications References Committee,"Management of the Great Barrier reef
Report tabled: 3/9/2014","Response presented: 14/4/2016
Response tabled: 18/4/2016"
Growing evidence of an emerging tick-borne disease that causes a Lyme-like illness for many Australian patients,Community Affairs References Committee,"Interim report
Report tabled: 4/5/2016
Final report
Report tabled: 30/11/2016","Interim report
Response tabled: 9/11/2016
Final report
Response tabled: 15/11/2017"
Handling of a letter sent by Mr Man Haron Monis to the Attorney-General,Legal and Constitutional Affairs References Committee,Report tabled: 16/9/2015,Response tabled: 1/9/2016
Impact of the 2014 and 2015 Commonwealth Budget decisions on the Arts,Legal and Constitutional Affairs References Committee,Report tabled: 2/12/2015,Response tabled: 4/5/2016
