inquiry,committee,report,response
2019-20 annual reports of bodies established under the ASIC Act,Parliamentary Joint Committee on Corporations and Financial Services,"Report presented: 11/7/2023
Report tabled: 31/7/2023","Response presented: 23/1/2025
Response tabled: 4/2/2025"
2022–23 Major Projects Report,Joint Committee of Public Accounts and Audit,"507th report
Report tabled: 4/2/2025",Response tabled: 28/10/2025
Access to diagnosis and treatment for people in Australia with tick-borne diseases,Community Affairs References Committee,"Report presented: 27/3/2025
Report tabled: 22/7/2025",Response tabled: 6/11/2025
Advocacy services for veterans accessing compensation and income support,"Foreign Affairs, Defence and Trade References Committee",Report tabled: 4/11/2025,"Response presented: 11/12/2025
Response tabled: 19/1/2026"
Anti-Money Laundering and Counter-Terrorism Financing Amendment Bill 2024,Legal and Constitutional Affairs Legislation Committee,"Report presented: 13/11/2024
Report tabled: 18/11/2024","Response presented: 30/1/2025
Response tabled: 4/2/2025"
Australian support for Ukraine,"Foreign Affairs, Defence and Trade References Committee",Report tabled: 16/9/2024,"Response presented: 20/2/2025
Response tabled: 25/3/2025"
Bankruptcy Amendment (Enterprise Incentives) Bill 2017,Legal and Constitutional Affairs Legislation Committee,Report tabled: 21/3/2018,"Response presented: 4/12/2025
Response tabled: 19/1/2026"
Better and Fairer Schools (Funding and Reform) Bill 2024 [Provisions],Education and Employment Legislation Committee,Report tabled: 18/11/2024,Response tabled: 26/8/2025
Commonwealth Bilateral Air Service Agreements,Select Committee on Commonwealth Bilateral Air Service Agreements,"Report presented: 9/10/2023
Report tabled: 16/10/2023","Response presented: 11/12/2025
Response tabled: 19/1/2026"
Commonwealth Workplace Protection Orders Bill 2024 [Provisions],Legal and Constitutional Affairs Legislation Committee,"Report presented: 14/3/2025
Report tabled: 25/3/2025",Response tabled: 24/7/2025
Conduct of the 2022 federal election and other matters,Joint Standing Committee on Electoral Matters,"Interim report
Report tabled: 20/6/2023
Final report
Report tabled: 29/11/2023","Interim report
Response tabled: 9/11/2023
Final report
Response presented: 6/3/2025
Response tabled: 25/3/2025"
Customs Legislation Amendment (Commercial Greyhound Export and Import Prohibition) Bill 2021,Rural and Regional Affairs and Transport Legislation Committee,Report tabled: 19/10/2023,"Response presented: 16/10/2025
Response tabled: 27/10/2025"
Defence honours and awards system,"Foreign Affairs, Defence and Trade References Committee","Report presented: 19/6/2025
Report tabled: 22/7/2025","Response presented: 25/9/2025
Response tabled: 27/10/2025"
Defence Industry Security Program Auditor-General’s Report,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 20/6/2023,"Response presented: 23/11/2023
Response tabled: 27/11/2023
Response tabled: 4/2/2025"
Department of Defence Annual Report 2022–23,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 26/11/2024,"Response presented: 13/3/2025
Response tabled: 25/3/2025"
"Equitable access to diagnosis and treatment for individuals with rare and less common cancers, including neuroendocrine cancer",Community Affairs References Committee,"Report presented: 17/5/2024
Report tabled: 24/6/2024",Response tabled: 28/8/2025
Fair Work Amendment (Protecting Penalty and Overtime Rates) Bill 2025,Education and Employment Legislation Committee,"Report presented: 22/8/2025
Report tabled: 25/8/2025",Response tabled: 6/11/2025
Family Law Amendment Bill 2024,Legal and Constitutional Affairs Legislation Committee,"Report presented: 31/10/2024
Report tabled: 18/11/2024","Response presented: 30/1/2025
Response tabled: 4/2/2025"
Free TAFE Bill 2024 [Provisions],Education and Employment Legislation Committee,"Report presented: 27/2/2025
Report tabled: 25/3/2025","Response presented: 10/10/2025
Response tabled: 27/10/2025"
Impact and mitigation of aircraft noise,Rural and Regional Affairs and Transport References Committee,Report tabled: 27/11/2024,Response tabled: 3/11/2025
Inquiry into the Department of Defence Annual Report 2021–22,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 14/9/2023,Response tabled: 24/7/2025
Interactive Gambling Amendment (Credit and Other Measures) Bill 2023 [Provisions],Environment and Communications Legislation Committee,"Report presented: 12/10/2023
Report tabled: 16/10/2023","Response presented: 20/2/2025
Response tabled: 25/3/2025"
Issues related to menopause and perimenopause,Community Affairs References Committee,Report tabled: 18/9/2024,Response tabled: 11/2/2025
Job security,Select Committee on Job Security,"On-demand platform work in Australia - First interim report
Report tabled: 24/6/2021
Insecurity in publicly-funded jobs - Second interim report
Report tabled: 19/10/2021
Labour hire and contracting - Third interim report
Report tabled: 30/11/2021
The job insecurity report - Fourth interim report
Report presented: 11/2/2022
Report tabled: 28/3/2022
Matter of possible privilege - Final report
Report tabled: 30/3/2022","1st to 4th interim reports and final report
Response tabled: 13/2/2025"
Joint Select Committee on Parliamentary Standards,Joint Select Committee on Parliamentary Standards,"Final report
Report tabled: 29/11/2022","Response presented: 27/2/2025
Response tabled: 25/3/2025"
Migration Amendment (Strengthening Employer Compliance) Bill 2023,Legal and Constitutional Affairs Legislation Committee,"Report presented: 31/8/2023
Report tabled: 4/9/2023","Response presented: 23/1/2025
Response tabled: 4/2/2025"
Migration Amendment (Strengthening Sponsorship and Nomination Processes) Bill 2024 [Provisions],Legal and Constitutional Affairs Legislation Committee,"Report presented: 2/9/2024
Report tabled: 9/9/2024","Response presented: 20/10/2025
Response tabled: 27/10/2025"
Not-for-profit entities—Tax assessments,Economics References Committee,"Report presented: 1/11/2024
Report tabled: 18/11/2024",Response tabled: 24/7/2025
Optus network outage,Environment and Communications References Committee,"Report presented: 27/9/2024
Report tabled: 8/10/2024","Response presented: 23/1/2025
Response tabled: 4/2/2025"
Oversight Legislation Amendment (Robodebt Royal Commission Response and Other Measures) Bill 2024 [Provisions],Legal and Constitutional Affairs Legislation Committee,"Report presented: 30/1/2025
Report tabled: 4/2/2025",Response tabled: 2/9/2025
"Oversight of ASIC, the Takeovers Panel and the Corporations Legislation",Parliamentary Joint Committee on Corporations and Financial Services,"Interim report - ASIC licence transfers
Report presented: 10/7/2023
Report tabled: 31/7/2023
Final report - Competition in clearing and settlement and the ASX CHESS Replacement Project
Report presented: 24/4/2024
Report tabled: 14/5/2024","Final report
Response presented: 27/2/2025
Response tabled: 25/3/2025
Interim report
Response tabled: 24/3/2026"
Policy and program design and implementation,Joint Committee of Public Accounts and Audit,"505th report
Report tabled: 19/11/2024","Response presented: 20/10/2025
Response tabled: 27/10/2025"
"Review of Schedule 9 of the Veterans’ Entitlements, Treatment and Support (Simplification and Harmonisation) Act 2025","Foreign Affairs, Defence and Trade Legislation Committee","Report presented: 29/8/2025
Report tabled: 1/9/2025","Response presented: 4/12/2025
Response tabled: 19/1/2026"
Review of the Surveillance Legislation Amendment (Identify and Disrupt) Bill 2020,Parliamentary Joint Committee on Intelligence and Security,"Advisory report
Report tabled: 5/8/2021",Response tabled: 25/11/2025
Review of the Transport Security Amendment (Security of Australia's Transport Sector) Bill 2024,Parliamentary Joint Committee on Intelligence and Security,"Advisory report
Report tabled: 25/3/2025",Response tabled: 27/10/2025
Select Committee on PFAS (per and polyfluoroalkyl substances),Select Committee on PFAS (per and polyfluoroalkyl substances),"Interim report
Report presented: 14/3/2025
Report tabled: 25/3/2025
Extent, regulation and management of PFAS
Report presented: 19/11/2025",Response presented: 18/11/2025
Shutdown of the 3G mobile network,Rural and Regional Affairs and Transport References Committee,"Interim report
Report presented: 1/8/2024
Report tabled: 12/8/2024
Final report
Report presented: 26/2/2025
Report tabled: 25/3/2025","Final report
Response presented: 10/10/2025
Response tabled: 27/10/2025"
Supporting democracy in our region,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 16/11/2023,Response tabled: 2/9/2025
Universal access to reproductive healthcare,Community Affairs References Committee,"Ending the postcode lottery: Addressing barriers to sexual, maternity and reproductive healthcare in Australia
Report presented: 25/5/2023
Report tabled: 13/6/2023",Response tabled: 11/2/2025
Wage Justice for Early Childhood Education and Care Workers (Special Account) Bill 2024 [Provisions],Education and Employment Legislation Committee,"Report presented: 30/10/2024
Report tabled: 18/11/2024",Response tabled: 31/7/2025
Workplace Gender Equality Amendment (Setting Gender Equality Targets) Bill 2024,Finance and Public Administration Legislation Committee,"Report presented: 30/1/2025
Report tabled: 4/2/2025","Response presented: 25/9/2025
Response tabled: 27/10/2025"
