inquiry,committee,report,response
A certain maritime incident,Select Committee for an inquiry into a certain maritime incident,Report tabled: 23/10/2002,Response tabled: 1/4/2026
Access to Australian Parliament House by lobbyists,Finance and Public Administration References Committee,"Report presented: 7/5/2024
Report tabled: 14/5/2024",Response tabled: 20/8/2026
Access to legal assistance services,Finance and Public Administration References Committee,"Aboriginal and Torres Strait Islander experience of law enforcement and justice services
Report tabled: 13/10/2016",Response tabled: 1/4/2026
Administration of Sports Grants,Select Committee on Administration of Sports Grants,"Interim report
Report tabled: 1/12/2020
Final report
Report tabled: 18/3/2021","Final report
Response presented: 21/5/2026
Response tabled: 22/6/2026"
Administrative Review Tribunal (Miscellaneous Measures) Bill 2024,Legal and Constitutional Affairs Legislation Committee,"Report presented: 31/10/2024
Report tabled: 18/11/2024","Response presented: 7/5/2026
Response tabled: 12/5/2026"
Administrative Review Tribunal and Other Legislation Amendment Bill 2025,Legal and Constitutional Affairs Legislation Committee,Report tabled: 6/11/2025,"Response presented: 19/3/2026
Response tabled: 23/3/2026"
Administrative Review Tribunal Bill 2023 and related bills,Legal and Constitutional Affairs Legislation Committee,"Report presented: 13/5/2024
Report tabled: 14/5/2024","Response presented: 7/5/2026
Response tabled: 12/5/2026"
Aged care service delivery,Community Affairs References Committee,"Report presented: 1/10/2025
Report tabled: 27/10/2025",Response tabled: 25/6/2026
"Agreement among the Government of Australia, the Government of the United Kingdom of Great Britain and Northern Ireland, and the Government of the United States of America for Cooperation Related to Naval Nuclear Propulsion",Joint Standing Committee on Treaties,"224th report
Report tabled: 27/11/2024",Response tabled: 24/3/2026
Agriculture (Biosecurity Protection) Levies Bill 2024 [Provisions] and related bills,Rural and Regional Affairs and Transport Legislation Committee,"Report presented: 10/5/2024
Report tabled: 14/5/2024","Response presented: 18/6/2026
Response tabled: 22/6/2026"
Algal blooms in South Australia,Environment and Communications References Committee,"Report presented: 11/11/2025
Report tabled: 24/11/2025",Response tabled: 31/3/2026
"Allegations concerning the inappropriate exercise of ministerial powers, with respect to the visa status of au pairs, and related matters",Legal and Constitutional Affairs References Committee,"Allegations concerning the inappropriate exercise of ministerial powers, with respect to the visa status of au pairs, and related matters
Report tabled: 19/9/2018",Response tabled: 1/4/2026
An Australian Standard for the training and use of privately contracted security and detection dogs,Parliamentary Joint Committee on Law Enforcement,Report tabled: 16/2/2021,"Response presented: 21/5/2026
Response tabled: 22/6/2026"
