inquiry,committee,report,response
Aged Care (Living Longer Living Better) Bill 2013 and 4 related bills,Community Affairs Legislation Committee,"Report presented: 31/5/2013
Report tabled: 17/6/2013",Response tabled: 20/6/2013
Annual reports referred to committees,Finance and Public Administration Legislation Committee,"No. 1 of 2012
Report tabled: 15/3/2012",Response tabled: 16/5/2013
Annual reports referred to legislation committees,Economics Legislation Committee,"No. 2 of 2011
Report tabled: 24/8/2011",Response tabled: 14/3/2013
Australia's human rights dialogues with China and Vietnam,"Joint Standing Committee on Foreign Affairs, Defence and Trade","More than just talk
Report tabled: 21/8/2012",Response tabled: 20/6/2013
Collapse of Trio Capital and any other related matters,Parliamentary Joint Committee on Corporations and Financial Services,"Report presented: 16/5/2012
Report tabled: 18/6/2012","Response presented: 26/4/2013
Response tabled: 14/5/2013"
Commonwealth contribution to former forced adoption policies and practices,Community Affairs References Committee,Report tabled: 29/2/2012,Response tabled: 21/3/2013
Commonwealth unexplained wealth legislation and arrangements,Parliamentary Joint Committee on Law Enforcement,Report tabled: 10/5/2012,"Response presented: 21/2/2013
Response tabled: 25/2/2013"
Container deposit schemes,Environment and Communications References Committee,"Operation of the South Australian and Northern Territory container deposit schemes
Report tabled: 22/11/2012",Response tabled: 20/6/2013
Crimes Amendment (Fairness for Minors) Bill 2011,Legal and Constitutional Affairs Legislation Committee,"Report presented: 4/4/2012
Report tabled: 10/5/2012",Response tabled: 16/5/2013
"Crimes Legislation Amendment (Slavery, Slavery-like Conditions and People Trafficking) Bill 2012",Legal and Constitutional Affairs Legislation Committee,Report tabled: 13/9/2012,Response tabled: 16/5/2013
Detention of Indonesian minors in Australia,Legal and Constitutional Affairs References Committee,"Report presented: 4/10/2012
Report tabled: 9/10/2012",Response tabled: 16/5/2013
Electricity prices,Select Committee on Electricity Prices,"Reducing energy bills and improving efficiency
Report tabled: 1/11/2012",Response tabled: 20/6/2013
Implications for the long-term sustainable management of the Murray Darling Basin system,Rural and Regional Affairs and Transport References Committee,"Report presented: 25/6/2009
Report tabled: 11/8/2009","Response presented: 31/5/2013
Response tabled: 17/6/2013"
Management of the Murray-Darling Basin,Rural and Regional Affairs and Transport References Committee,"Impact of mining coal seam gas on the management of the Murray Darling Basin - Interim report
Report presented: 30/11/2011
Report tabled: 7/2/2012
The Basin Plan - Second interim report
Report presented: 3/10/2012
Report tabled: 9/10/2012
Final report
Report tabled: 13/3/2013","Second interim report
Response presented: 31/5/2013
Response tabled: 17/6/2013
Final report
Response presented: 4/4/2018
Response tabled: 8/5/2018
Interim report
Response presented: 23/5/2024
Response tabled: 24/6/2024"
Medicare funding for hyperbaric oxygen treatment,Finance and Public Administration References Committee,Report tabled: 28/11/2012,"Response presented: 22/5/2013
Response tabled: 17/6/2013"
Migration Amendment (Removal of Mandatory Minimum Penalties) Bill 2012,Legal and Constitutional Affairs Legislation Committee,"Report presented: 4/4/2012
Report tabled: 10/5/2012",Response tabled: 28/2/2013
National Broadband Network,Select Committee on the National Broadband Network,"Another fork in the road to national broadband - Second interim report
Report tabled: 12/5/2009
Third report
Report tabled: 26/11/2009
Fourth interim report
Report presented: 18/5/2010
Report tabled: 15/6/2010
Final report
Report tabled: 17/6/2010","Second interim report; Third report; Fourth interim report; Final report
Response presented: 2/8/2013
Response tabled: 12/11/2013"
National Gambling Reform Bill 2012 and other related bills,Joint Select Committee on Gambling Reform,"Report presented: 23/11/2012
Report tabled: 26/11/2012","Response presented: 22/5/2013
Response tabled: 17/6/2013"
"National parks, conservation reserves and marine protected areas","Environment, Communications, Information Technology and the Arts","Conserving Australia: Australia’s national parks, conservation reserves and marine protected areas
Report presented: 12/4/2007
Report tabled: 9/5/2007",Response tabled: 27/6/2013
Performance of the Department of Parliamentary Services (DPS),Finance and Public Administration Legislation Committee,"Interim report
Report tabled: 27/6/2012
Report
Report tabled: 28/11/2012","Interim report
Response presented: 2/8/2013
Response tabled: 12/11/2013
Report
Response presented: 2/8/2013
Response tabled: 12/11/2013"
Prevention and treatment of problem gambling,Joint Select Committee on Gambling Reform,"Report presented: 12/10/2012
Report tabled: 29/10/2012","Response presented: 9/5/2013
Response tabled: 14/5/2013"
Pricing and supply arrangements in the Australian and global fertiliser market,Select Committee on Agricultural and Related Industries,"Final report
Report tabled: 20/8/2009","Response presented: 6/6/2013
Response tabled: 13/6/2013"
Prospective marriage visa program,Legal and Constitutional Affairs References Committee,Report tabled: 26/6/2012,Response tabled: 27/6/2013
Regulatory Powers (Standard Provisions) Bill 2012,Legal and Constitutional Affairs Legislation Committee,Report tabled: 18/3/2013,Response tabled: 20/6/2013
Review of the Defence annual report 2010-11,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 17/9/2012,Response tabled: 25/2/2013
"Review of the re-listing of Ansar al-Islam, Islamic Movement of Uzbekistan, Jaish-e-Mohammad and Lashkar-e-Jhangvi",Parliamentary Joint Committee on Intelligence and Security,Report tabled: 18/6/2012,Response tabled: 7/2/2013
Review of the re-listing of five terrorist organisations,Parliamentary Joint Committee on Intelligence and Security,Report tabled: 10/10/2012,Response tabled: 7/2/2013
Review of the re-listing of Hizballah's External Security Organisation,Parliamentary Joint Committee on Intelligence and Security,Report tabled: 14/8/2012,Response tabled: 7/2/2013
"Role of the Government and the Therapeutic Goods Administration (TGA) regarding medical devices, particularly Poly Implant Prothese (PIP) breast implants",Community Affairs References Committee,"Report presented: 31/5/2012
Report tabled: 18/6/2012","Response presented: 31/7/2013
Response tabled: 12/11/2013"
Rollout of the National Broadband Network,Joint Committee on the National Broadband Network,"First report
Report presented: 31/8/2011
Report tabled: 12/9/2011
Second report
Report tabled: 25/11/2011
Third report
Report tabled: 25/6/2012
Fourth report
Report tabled: 28/2/2013
Fifth report
Report tabled: 17/6/2013","First report
Response tabled: 13/3/2012
Second report
Response presented: 16/4/2012
Response tabled: 10/5/2012
Third report
Response tabled: 9/10/2012
Fourth report
Response tabled: 20/6/2013
Fifth report
Response presented: 2/8/2013
Response tabled: 12/11/2013"
Statutory oversight of the Australian Securities and Investments Commission,Parliamentary Joint Committee on Corporations and Financial Services,Report tabled: 12/9/2011,Response tabled: 7/2/2013
Sustainable management by the Commonwealth of water resources,Environment and Communications References Committee,"Report presented: 7/10/2012
Report tabled: 25/10/2012","Response presented: 31/5/2013
Response tabled: 17/6/2013"
"Treaties tabled on 21 August, 11 and 18 September 2012",Joint Standing Committee on Treaties,"131st report
Report tabled: 28/11/2012",Response tabled: 16/5/2013
Water Amendment (Long Term Average Sustainable Diversion Limit Adjustment) Bill 2012,Environment and Communications Legislation Committee,Report tabled: 19/11/2012,"Response presented: 31/5/2013
Response tabled: 17/6/2013"
Water Amendment (Water for the Environment Special Account) Bill 2012,Environment and Communications Legislation Committee,Report tabled: 19/11/2012,"Response presented: 31/5/2013
Response tabled: 17/6/2013"
