inquiry,committee,report,response
Adequacy of protections for the privacy of Australians online,Environment and Communications References Committee,"Report presented: 7/4/2011
Report tabled: 10/5/2011",Response tabled: 29/11/2012
Administration and purchasing of Disability Employment Services in Australia,Education and Employment References Committee,Report tabled: 25/11/2010,"Response presented: 17/2/2012
Response tabled: 27/2/2012"
Administration of health practitioner registration by the Australian Health Practitioner Regulation Agency (AHPRA),Finance and Public Administration References Committee,"Report presented: 3/6/2011
Report tabled: 14/6/2011","Response presented: 19/1/2012
Response tabled: 7/2/2012"
Airports Amendment Bill 2010,Rural and Regional Affairs and Transport Legislation Committee,Report tabled: 18/11/2010,Response tabled: 13/3/2012
Animal welfare standards in Australia's live export markets and the Live Animal Export (Slaughter) Prohibition Bill 2011 [No. 2] and Live Animal Export Restriction and Prohibition Bill 2011 [No. 2],Rural and Regional Affairs and Transport References Committee,Report tabled: 23/11/2011,"Response presented: 10/7/2012
Response tabled: 14/8/2012"
Annual reports referred to committees,Finance and Public Administration Legislation Committee,"Report no. 2 of 2009
Report tabled: 9/9/2009","Response presented: 24/1/2012
Response tabled: 7/2/2012"
Annual reports referred to committees,Standing Committee on Finance and Public Administration,"No. 1 of 2008
Report tabled: 20/3/2008",Response tabled: 13/3/2012
Australia's biosecurity and quarantine arrangements,Rural and Regional Affairs and Transport References Committee,"Report presented: 10/4/2012
Report tabled: 10/5/2012","Response presented: 27/7/2012
Response tabled: 14/8/2012"
Australia's future oil supply and alternative transport fuels,Rural and Regional Affairs and Transport References Committee,Report tabled: 7/2/2007,"Response presented: 28/5/2012
Response tabled: 18/6/2012"
Australia's relationship with the countries of Africa,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 23/6/2011,Response tabled: 10/5/2012
"Australia's trade and investment relations with Asia, the Pacific and Latin America","Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 23/8/2011,"Response presented: 20/12/2012
Response tabled: 5/2/2013"
Australian film and literature classification scheme,Legal and Constitutional Affairs References Committee,"Review of the National Classification Scheme: achieving the right balance
Report tabled: 23/6/2011",Response tabled: 16/8/2012
Australia’s arrangement with Malaysia in relation to asylum seekers,Legal and Constitutional Affairs References Committee,Report tabled: 11/10/2011,"Response presented: 13/6/2012
Response tabled: 18/6/2012"
Australia’s immigration detention network,Joint Select Committee on Australia’s Immigration Detention Network,"Final report
Report presented: 30/3/2012
Report tabled: 10/5/2012",Response tabled: 29/11/2012
Capacity of communication networks and emergency warning systems to deal with emergencies and natural disasters,Environment and Communications References Committee,Report tabled: 23/11/2011,Response tabled: 22/11/2012
Carbon tax pricing mechanisms,Select Committee on the Scrutiny of New Taxes,"The carbon tax: Economic pain for no environmental gain
Report presented: 7/10/2011
Report tabled: 11/10/2011
The carbon tax: Secrecy and spin cannot hide carbon tax flaws
Report tabled: 1/11/2011","Response presented: 15/11/2012
Response tabled: 19/11/2012"
Combating the Financing of People Smuggling and Other Measures Bill 2011,Legal and Constitutional Affairs Legislation Committee,Report tabled: 21/3/2011,Response tabled: 16/8/2012
Commonwealth funding and administration of mental health services,Community Affairs References Committee,Report tabled: 1/11/2011,Response tabled: 20/9/2012
Competition and pricing in the Australian dairy industry,Economics References Committee,"Milking it for all its worth
Report tabled: 13/5/2010","Response presented: 3/2/2012
Response tabled: 7/2/2012"
Consumer access to pharmaceutical benefits,Community Affairs References Committee,Report tabled: 24/11/2010,"Response presented: 22/2/2012
Response tabled: 27/2/2012"
Cyber-safety,Joint Select Committee on Cyber-Safety,"High-wire act: cyber-safety and the young - First interim report
Report tabled: 20/6/2011
Cybersafety for seniors: A worthwhile journey - Second interim report
Report presented: 16/4/2013
Report tabled: 14/5/2013","First interim report
Response tabled: 7/2/2012
Second interim report
Response tabled: 13/2/2014"
Department of Defence's request for tender for aviation contracts and associated issues,"Foreign Affairs, Defence and Trade References Committee","Defence's request for tender for aviation contracts
Report tabled: 25/8/2011",Response tabled: 9/2/2012
Deterring People Smuggling Bill 2011,Legal and Constitutional Affairs Legislation Committee,Report tabled: 21/11/2011,"Response presented: 15/10/2012
Response tabled: 29/10/2012"
Donor conception in Australia,Legal and Constitutional Affairs References Committee,Report tabled: 10/2/2011,"Response presented: 9/8/2012
Response tabled: 14/8/2012"
Effectiveness of the Australian Government’s response to Australian citizens who are kidnapped and held for ransom overseas,"Foreign Affairs, Defence and Trade References Committee","Held hostage: Government's response to kidnapping of Australian citizens overseas
Report tabled: 25/11/2011","Response presented: 26/9/2012
Response tabled: 9/10/2012"
Equity and diversity health check in the Royal Australian Navy—HMAS Success,"Foreign Affairs, Defence and Trade References Committee","Part II: Incidents onboard HMAS Success between March and May 2009 and subsequent events
Report tabled: 25/8/2011",Response tabled: 9/2/2012
Examination of the 2010-11 annual reports of the Australian Crime Commission and the Australian Federal Police,Parliamentary Joint Committee on Law Enforcement,Report tabled: 10/5/2012,Response tabled: 1/11/2012
Examination of the Australian Crime Commission Annual Report 2009-10,Parliamentary Joint Committee on Law Enforcement,Report tabled: 24/8/2011,"Response presented: 4/5/2012
Response tabled: 10/5/2012"
Exposure Drafts of Australian Privacy Amendment Legislation,Finance and Public Administration Legislation Committee,"Part 1 - Australian privacy principles
Report tabled: 15/6/2011
Part 2 - Credit reporting
Report presented: 6/10/2011
Report tabled: 11/10/2011","Part 1
Response tabled: 10/5/2012
Part 2
Response tabled: 10/5/2012"
Extent and economic impact of salinity in Australia,"Environment, Communications, Information Technology and the Arts References Committee","Living with salinity - A report on progress
Report tabled: 28/3/2006","Response presented: 12/4/2012
Response tabled: 10/5/2012"
Finance for the not for profit sector,Economics References Committee,"Investing for good: The development of a capital market for the not-for-profit sector in Australia
Report tabled: 25/11/2011","Response presented: 19/7/2012
Response tabled: 14/8/2012"
Fuel and energy,Select Committee on Fuel and Energy,"The mining tax: Still bad for the economy - still bad for jobs
Report presented: 30/7/2010
Report tabled: 28/9/2010",Response tabled: 13/3/2012
Government’s administration of the Pharmaceutical Benefits Scheme (PBS),Finance and Public Administration References Committee,Report tabled: 17/8/2011,"Response presented: 26/7/2012
Response tabled: 14/8/2012"
Human rights in the Asia-Pacific,"Joint Standing Committee on Foreign Affairs, Defence and Trade","Challenges and opportunities
Report presented: 19/4/2010
Report tabled: 11/5/2010",Response tabled: 9/2/2012
Impacts of supermarket price decisions on the dairy industry,Economics References Committee,Report tabled: 3/11/2011,"Response presented: 3/2/2012
Response tabled: 7/2/2012"
Integrity testing,Parliamentary Joint Committee on the Australian Commission for Law Enforcement Integrity,Report tabled: 25/11/2011,"Response presented: 30/3/2012
Response tabled: 10/5/2012"
Interactive and online gambling and gambling advertising and Interactive Gambling and Broadcasting Amendment (Online Transactions and Other Measures) Bill 2011,Joint Select Committee on Gambling Reform,"Report presented: 8/12/2011
Report tabled: 7/2/2012",Response tabled: 21/6/2012
International child abduction to and from Australia,Legal and Constitutional Affairs References Committee,"International parental child abduction to and from Australia
Report tabled: 31/10/2011","Response presented: 30/3/2012
Response tabled: 10/5/2012"
Investment of Commonwealth and state funds in public passenger transport infrastructure and services,Rural and Regional Affairs and Transport References Committee,Report tabled: 20/8/2009,Response tabled: 27/6/2012
Iraqi wheat debt,Rural and Regional Affairs and Transport References Committee,"Repayments for wheat growers
Report tabled: 16/6/2005",Response tabled: 21/6/2012
Matters relating to the Torres Strait region,"Foreign Affairs, Defence and Trade References Committee","The Torres Strait: Bridge and border
Report presented: 26/11/2010
Report tabled: 9/2/2011","Response presented: 9/8/2012
Response tabled: 14/8/2012"
Men's health,Select Committee on Men's Health,"Report presented: 29/5/2009
Report tabled: 15/6/2009","Response presented: 24/10/2012
Response tabled: 29/10/2012"
Migration treatment of disability,Joint Standing Committee on Migration,"Enabling Australia
Report tabled: 22/6/2010",Response tabled: 1/11/2012
National Funding Agreements,Joint Committee of Public Accounts and Audit,"427th report
Report tabled: 7/2/2012",Response tabled: 16/8/2012
National mining tax,Select Committee on the Scrutiny of New Taxes,"The mining tax: A bad tax out of a flawed process
Report presented: 29/6/2011
Report tabled: 4/7/2011",Response tabled: 13/3/2012
"Native vegetation laws, greenhouse gas abatement and climate change measures",Finance and Public Administration References Committee,"Report presented: 30/4/2010
Report tabled: 11/5/2010","Response presented: 16/1/2012
Response tabled: 7/2/2012"
Ninth biannual hearing with the Commissioner of Taxation,Joint Committee of Public Accounts and Audit,"426th report
Report tabled: 25/11/2011","Response presented: 24/7/2012
Response tabled: 14/8/2012"
Operation of the Law Enforcement Integrity Commissioner Act 2006,Parliamentary Joint Committee on the Australian Commission for Law Enforcement Integrity,"Interim report
Report tabled: 24/2/2010
Final report
Report tabled: 7/7/2011","Interim report
Response tabled: 9/2/2012
Final report
Response tabled: 9/2/2012"
Planning options and services for people ageing with a disability,Community Affairs References Committee,"Disability and ageing: lifelong planning for a better future
Report tabled: 6/7/2011","Response presented: 5/11/2012
Response tabled: 19/11/2012"
Pre-commitments scheme,Joint Select Committee on Gambling Reform,"Design and implementation of a mandatory pre-commitment system for electronic gaming machines
Report presented: 6/5/2011
Report tabled: 10/5/2011","Response presented: 4/5/2012
Response tabled: 10/5/2012"
Primary Schools for the Twenty First Century Program,Education and Employment References Committee,"Report presented: 25/3/2011
Report tabled: 10/5/2011",Response tabled: 27/6/2012
Privacy Amendment (Enhancing Privacy Protection) Bill 2012,Legal and Constitutional Affairs Legislation Committee,"Report presented: 25/9/2012
Report tabled: 9/10/2012",Response tabled: 22/11/2012
Procurement procedures for Defence capital projects,"Foreign Affairs, Defence and Trade References Committee","Report presented: 30/8/2012
Report tabled: 10/9/2012","Response presented: 16/10/2012
Response tabled: 29/10/2012"
Provisions of the Water Act 2007,Legal and Constitutional Affairs References Committee,"A balancing act
Report presented: 10/6/2011
Report tabled: 14/6/2011","Response presented: 27/3/2012
Response tabled: 10/5/2012"
Recent ABC programming decisions,Environment and Communications References Committee,Report tabled: 13/10/2011,"Response presented: 16/10/2012
Response tabled: 29/10/2012"
Regulatory standards for the approval of medical devices,Community Affairs References Committee,Report tabled: 22/11/2011,Response tabled: 13/9/2012
Review of the Defence Annual Report 2009-10,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 27/2/2012,Response tabled: 18/6/2012
Review of the Professional Services Review (PSR) Scheme,Community Affairs References Committee,"Report presented: 25/10/2011
Report tabled: 31/10/2011","Response presented: 6/3/2012
Response tabled: 13/3/2012"
Rollout of the National Broadband Network,Joint Committee on the National Broadband Network,"First report
Report presented: 31/8/2011
Report tabled: 12/9/2011
Second report
Report tabled: 25/11/2011
Third report
Report tabled: 25/6/2012
Fourth report
Report tabled: 28/2/2013
Fifth report
Report tabled: 17/6/2013","First report
Response tabled: 13/3/2012
Second report
Response presented: 16/4/2012
Response tabled: 10/5/2012
Third report
Response tabled: 9/10/2012
Fourth report
Response tabled: 20/6/2013
Fifth report
Response presented: 2/8/2013
Response tabled: 12/11/2013"
Rural and regional access to secondary and tertiary education opportunities,Rural and Regional Affairs and Transport References Committee,"Report presented: 18/12/2009
Report tabled: 2/2/2010",Response tabled: 13/3/2012
Social and economic impact of rural wind farms,Community Affairs References Committee,Report tabled: 23/6/2011,Response tabled: 13/9/2012
State government insurance and flood levy,Economics References Committee,"The asset insurance arrangements of Australian state governments: State government insurance and the flood levy [Inquiry into the provisions of the Tax Laws Amendment (Temporary Flood and Cyclone Reconstruction Levy) Bill 2011 and a related bill
Report tabled: 22/9/2011","Response presented: 19/7/2012
Response tabled: 14/8/2012"
Statutory oversight of the Australian Securities and Investments Commission,Parliamentary Joint Committee on Corporations and Financial Services,Report tabled: 13/3/2012,Response tabled: 21/6/2012
"Treaties tabled 18, 25 and 26 November 2009",Joint Standing Committee on Treaties,"110th Report
Report tabled: 16/3/2010",Response tabled: 9/2/2012
Treaties tabled on 25 June 2008,Joint Standing Committee on Treaties,"100th report
Report tabled: 19/3/2009","Response presented: 9/8/2012
Response tabled: 14/8/2012"
Treaties tabled on 7 and 28 February 2012,Joint Standing Committee on Treaties,"125th report
Report tabled: 21/6/2012",Response tabled: 1/11/2012
Treaty tabled on 21 November 2011,Joint Standing Committee on Treaties,"126th report
Report tabled: 27/6/2012",Response tabled: 28/11/2012
Women in sport and recreation in Australia,"Environment, Communications, Information Technology and the Arts References Committee","About time!
Report tabled: 6/9/2006",Response tabled: 1/11/2012
