inquiry,committee,report,response
Australia as a Technology and Financial Centre,Select Committee on Australia as a Technology and Financial Centre,"First interim report
Report tabled: 2/9/2020
Second interim report
Report presented: 28/4/2021
Report tabled: 11/5/2021
Final report
Report tabled: 20/10/2021","Final report
Response presented: 25/1/2022
Response tabled: 8/2/2022
First interim report
Response tabled: 13/8/2024
Second interim report
Response tabled: 13/8/2024"
"Australian content on broadcast, radio and streaming services",Environment and Communications References Committee,"Economic and cultural value of Australian content on broadcast, radio and streaming services
Report presented: 26/3/2019
Report tabled: 2/4/2019","Response presented: 31/3/2022
Response tabled: 26/7/2022"
Australian Institute of Criminology's National Deaths in Custody Program,Parliamentary Joint Committee on Law Enforcement,"Summary report of the 24 June 2020 public hearing on the Australian Institute of Criminology's National Deaths in Custody Program
Report tabled: 10/11/2020","Response presented: 24/2/2022
Response tabled: 28/3/2022"
Australia’s sovereign naval shipbuilding capability,Economics References Committee,"Ringing of bells, wringing of hands (First interim report)
Report presented: 28/5/2021
Report tabled: 15/6/2021
Future submarine acquisition: A shambles - we don't think we know (Second interim report)
Report presented: 28/2/2022
Report tabled: 28/3/2022
All at sea ...
Report presented: 18/5/2022
Report tabled: 26/7/2022","All at sea ...
Response presented: 18/8/2022
Response tabled: 5/9/2022
Interim report
Response tabled: 25/6/2024
Second interim report
Response tabled: 25/6/2024"
Centrelink's compliance program,Community Affairs References Committee,"Interim report
Report tabled: 11/2/2020
Second interim report
Report tabled: 1/9/2020
Third interim report
Report tabled: 2/9/2020
Fourth interim report
Report tabled: 12/8/2021
Fifth interim report
Report tabled: 23/11/2021
Accountability and justice: Why we need a Royal Commission into Robodebt
Report presented: 13/5/2022
Report tabled: 26/7/2022","Second interim report
Response presented: 11/2/2021
Response tabled: 15/2/2021
Fifth interim report
Response presented: 13/10/2022
Response tabled: 25/10/2022
Accountability and justice: Why we need a Royal Commission into Robodebt
Response presented: 13/10/2022
Response tabled: 25/10/2022"
Certain aspects of the Department of Foreign Affairs and Trade Annual Report 2019-20,"Joint Standing Committee on Foreign Affairs, Defence and Trade","First periodic report on human rights
Report tabled: 30/3/2022","Response presented: 17/11/2022
Response tabled: 21/11/2022"
Certain aspects of the Department of Foreign Affairs and Trade Annual Report 2019-20 - child and forced marriage.,"Joint Standing Committee on Foreign Affairs, Defence and Trade","Advocating for the elimination of child and forced marriage
Report tabled: 2/12/2021","Response presented: 21/4/2022
Response tabled: 26/7/2022"
Certain aspects of the treaty-making process in Australia,Joint Standing Committee on Treaties,"193rd report - Strengthening the trade agreement and treaty-making process in Australia
Report tabled: 31/8/2021","Response presented: 3/3/2022
Response tabled: 28/3/2022"
Customs Amendment (Banning Goods Produced By Uyghur Forced Labour) Bill 2020,"Foreign Affairs, Defence and Trade Legislation Committee",Report tabled: 17/6/2021,"Response presented: 21/4/2022
Response tabled: 26/7/2022"
"Destruction of 46,000 year old caves at the Juukan Gorge in the Pilbara region of Western Australia",Joint Standing Committee on Northern Australia,"Never again
Report tabled: 9/12/2020
A way forward: Final report into the destruction of Indigenous heritage sites at Juukan Gorge
Report tabled: 18/10/2021","Interim and final reports
Response tabled: 28/11/2022"
