inquiry,committee,report,response
Affordable housing,Economics References Committee,"Out of reach? The Australian housing affordability challenge
Report presented: 8/5/2015
Report tabled: 11/5/2015",Response tabled: 28/3/2018
All aspects of the conduct of the 2016 Federal Election and matters related thereto,Joint Standing Committee on Electoral Matters,"Interim report: Authorisation of voter communication
Report presented: 9/12/2016
Report tabled: 7/2/2017
Second interim report: 2016 Federal election: Foreign donations
Report presented: 10/3/2017
Report tabled: 20/3/2017
Third interim report: 2016 Federal election: AEC modernisation
Report tabled: 22/6/2017
Final report
Report tabled: 14/2/2019","Response to the second interim report included with response to advisory reports into the Electoral Legislation Amendment (Electoral Funding and Disclosure Reform) Bill 2017
Response tabled: 14/11/2018
Third interim report
Response tabled: 14/5/2024
Final report
Response tabled: 14/5/2024"
"Appropriateness and effectiveness of the objectives, design, implementation and evaluation of the Community Development Program (CDP)",Finance and Public Administration References Committee,"Report presented: 14/12/2017
Report tabled: 5/2/2018","Response presented: 8/11/2018
Response tabled: 12/11/2018"
Arrangements for the postal survey,Finance and Public Administration References Committee,Report tabled: 13/2/2018,Response tabled: 26/6/2018
Australia's rail industry,Rural and Regional Affairs and Transport References Committee,Report tabled: 18/10/2017,"Response presented: 19/12/2018
Response tabled: 12/2/2019"
Australian Broadcasting Corporation Amendment (Local Content) Bill 2014,Environment and Communications Legislation Committee,"Report presented: 27/3/2015
Report tabled: 11/5/2015","Response presented: 9/3/2018
Response tabled: 19/3/2018"
Australian Broadcasting Corporation Amendment (Restoring Shortwave Radio) Bill 2017,Environment and Communications Legislation Committee,Report tabled: 9/8/2017,"Response presented: 9/3/2018
Response tabled: 19/3/2018"
Australian Broadcasting Corporation Amendment (Rural and Regional Advocacy) Bill 2015,Environment and Communications Legislation Committee,"Report presented: 13/4/2017
Report tabled: 9/5/2017","Response presented: 9/3/2018
Response tabled: 19/5/2018"
Australian Broadcasting Corporation's commitment to reflecting and representing regional diversity,Environment and Communications References Committee,Report tabled: 20/3/2013,"Response presented: 9/3/2018
Response tabled: 19/3/2018"
Australian Citizenship Legislation Amendment (Strengthening the Requirements for Australian Citizenship and Other Measures) Bill 2017,Legal and Constitutional Affairs Legislation Committee,Report tabled: 5/9/2017,Response tabled: 28/3/2018
Availability and accessibility of diagnostic imaging equipment around Australia,Community Affairs References Committee,"Report presented: 9/3/2018
Report tabled: 19/3/2018","Response presented: 24/9/2018
Response tabled: 15/10/2018"
Biosecurity risks associated with the importation of seafood and seafood products (including uncooked prawns and uncooked prawn meat) into Australia,Rural and Regional Affairs and Transport References Committee,"Interim report
Report tabled: 22/6/2017
Final report
Report presented: 31/10/2017
Report tabled: 13/11/2017","Interim and final reports
Response presented: 25/5/2018
Response tabled: 18/6/2018"
Carbon Risk Disclosure,Economics References Committee,"Carbon risk: a burning issue
Report presented: 21/4/2017
Report tabled: 9/5/2017","Response presented: 7/3/2018
Response tabled: 19/3/2018"
Circumstances in which Australians’ personal Medicare information has been compromised and made available for sale illegally on the ‘dark web’,Finance and Public Administration References Committee,Report tabled: 16/10/2017,"Response presented: 21/2/2018
Response tabled: 19/3/2018"
Coastal Trading (Revitalising Australian Shipping) Amendment Bill 2017,Rural and Regional Affairs and Transport Legislation Committee,Report tabled: 4/12/2017,Response tabled: 19/6/2018
Commission of Audit established by the Commonwealth government,Select Committee into the Abbott Government’s Commission of Audit,"First interim report
Report presented: 19/2/2014
Report tabled: 3/3/2014
Second interim report
Report presented: 24/4/2014
Report tabled: 13/5/2014
Final report
Report tabled: 19/6/2014","First interim report
Response presented: 5/10/2018
Response tabled: 15/10/2018
Second interim report
Response presented: 5/10/2018
Response tabled: 15/10/2018
Final report
Response presented: 5/10/2018
Response tabled: 15/10/2018"
Commonwealth Redress Scheme for Institutional Child Sexual Abuse Bill 2017 and related bill,Community Affairs Legislation Committee,Report tabled: 28/3/2018,"Response presented: 29/5/2018
Response tabled: 18/6/2018"
Complaints mechanism administered under the Health Practitioner Regulation National Law,Community Affairs References Committee,Report tabled: 10/5/2017,Response tabled: 23/8/2018
Copyright Amendment (Service Providers) Bill 2017,Environment and Communications Legislation Committee,Report tabled: 19/3/2018,Response tabled: 9/5/2018
