inquiry,committee,report,response
Auditor General's reports on Tasmanian Forestry Grants Programs,Rural and Regional Affairs and Transport References Committee,Report tabled: 19/6/2013,"Response presented: 22/4/2015
Response tabled: 11/5/2015"
Australia's trade and investment relationship with Japan and the Republic of Korea,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 17/6/2013,Response tabled: 17/3/2015
"Classification (Publications, Films and Computer Games) Amendment (Classification Tools and Other Measures) Bill 2014",Legal and Constitutional Affairs Legislation Committee,Report tabled: 27/8/2014,Response tabled: 8/9/2015
Commonwealth procurement procedures,Finance and Public Administration References Committee,Report tabled: 17/7/2014,"Response presented: 30/4/2015
Response tabled: 11/5/2015"
Current investigative processes and powers of the Australian Federal Police in relation to non-criminal matters,Legal and Constitutional Affairs References Committee,Report tabled: 15/5/2014,Response tabled: 10/2/2015
Development of Northern Australia,Joint Select Committee on Northern Australia,"Final report - Pivot north
Report tabled: 4/9/2014
Interim report - Scaling up: Inquiry into opportunities for expanding aquaculture in Northern Australia
Report tabled: 23/2/2016","Final report - interim response
Response tabled: 10/2/2015
Interim report
Response tabled: 13/6/2017
Final report
Response tabled: 5/12/2017"
Economic development on Norfolk Island,Joint Standing Committee on the National Capital and External Territories,"Same country: different world - The future of Norfolk Island
Report tabled: 28/10/2014",Response tabled: 19/3/2015
Environmental offsets,Environment and Communications References Committee,Report tabled: 26/6/2014,Response tabled: 10/2/2015
Future of Australia’s naval shipbuilding industry,Economics References Committee,"Part 1 - Tender process for the navy's new supply ships
Report tabled: 27/8/2014
Part 2 - Future submarines
Report tabled: 17/11/2014
Part 3 - Long-term planning
Report presented: 1/7/2015
Report tabled: 10/8/2015","Part 1
Response presented: 7/5/2015
Response tabled: 11/5/2015
Part 2
Response tabled: 21/3/2017
Part 3
Response tabled: 21/3/2017"
Future of the beekeeping and pollination service industries in Australia,Rural and Regional Affairs and Transport References Committee,Report tabled: 16/7/2014,Response tabled: 3/3/2015
Government response to the Defence Abuse Response Taskforce (DART),"Foreign Affairs, Defence and Trade References Committee","Processes to support victims of abuse in Defence
Report presented: 31/10/2014
Report tabled: 17/11/2014",Response tabled: 16/6/2015
Impacts on health of air quality in Australia,Community Affairs References Committee,"Report presented: 16/8/2013
Report tabled: 12/11/2013","Response presented: 21/5/2015
Response tabled: 15/6/2015"
Implementation and administration of the National Disability Insurance Scheme,Joint Standing Committee on the National Disability Insurance Scheme,"First progress report
Report presented: 29/7/2014
Report tabled: 26/8/2014
Second progress report
Report tabled: 12/11/2015","First progress report
Response tabled: 3/3/2015
Second progress report
Response tabled: 17/3/2016"
Implementation of the Defence Trade Controls Legislation,"Foreign Affairs, Defence and Trade Legislation Committee","Progress report no. 1
Report tabled: 27/6/2013
Progress report no. 2
Report tabled: 14/5/2014
Progress report no. 3
Report tabled: 18/3/2015","Progress report no. 1
Response presented: 8/1/2014
Response tabled: 11/2/2014
Progress report no. 2
Response tabled: 18/8/2015
Progress report no. 3
Response tabled: 18/8/2015"
Incident at the Manus Island Detention Centre from 16 February to 18 February 2014,Legal and Constitutional Affairs References Committee,"Interim report
Report presented: 5/12/2014
Report tabled: 9/2/2015
Final report
Report presented: 11/12/2014
Report tabled: 9/2/2015","Interim report
Response tabled: 14/5/2015
Final report
Response tabled: 14/5/2015"
Industry structures and systems governing levies on grass-fed cattle,Rural and Regional Affairs and Transport References Committee,"Report presented: 9/9/2014
Report tabled: 22/9/2014","Response presented: 15/7/2015
Response tabled: 10/8/2015"
Involuntary or coerced sterilisation of people with disabilities in Australia,Community Affairs References Committee,"Involuntary or coerced sterilisation of people with disabilities in Australia
Report presented: 17/7/2013
Report tabled: 12/11/2013
Involuntary or coerced sterilisation of intersex people in Australia
Report presented: 25/10/2013
Report tabled: 12/11/2013",Response tabled: 17/6/2015
Korea-Australia Free Trade Agreement,"Foreign Affairs, Defence and Trade References Committee",Report tabled: 1/10/2014,"Response presented: 23/2/2015
Response tabled: 2/3/2015"
National Broadband Network,Select Committee on the National Broadband Network,"Interim report
Report tabled: 26/3/2014
Second interim report
Report tabled: 19/3/2015","Interim report
Response presented: 13/8/2014
Response tabled: 26/8/2014
Second interim report
Response presented: 19/6/2015
Response tabled: 22/6/2015"
Operational issues in export grain networks,Rural and Regional Affairs and Transport References Committee,"Report presented: 16/4/2012
Report tabled: 10/5/2012","Response presented: 8/5/2015
Response tabled: 11/5/2015"
Parliamentary Budget Office,Joint Committee of Public Accounts and Audit,"Review of the operations of the Parliamentary Budget Office
Report tabled: 2/12/2014",Response tabled: 23/6/2015
"Performance, importance and role of Australia Post in Australian communities and its operations in relation to licensed post offices",Environment and Communications Legislation Committee,Report tabled: 24/9/2014,Response tabled: 2/12/2015
Potential reforms of national security legislation,Parliamentary Joint Committee on Intelligence and Security,Report tabled: 24/6/2013,"Chapters 2 and 3
Response presented: 1/7/2015
Response tabled: 10/8/2015"
Privatisation of state and territory assets and new infrastructure,Economics References Committee,Report tabled: 19/3/2015,"Response presented: 1/9/2015
Response tabled: 7/9/2015"
Recent trends in and preparedness for extreme weather events,Environment and Communications References Committee,"Report presented: 7/8/2013
Report tabled: 12/11/2013","Response presented: 3/8/2015
Response tabled: 10/8/2015"
Review of Administration and Expenditure Nos. 11 (2011-2012) - Australian Intelligence Agencies,Parliamentary Joint Committee on Intelligence and Security,"Review of administration and expenditure no. 11 and no. 12 - Australian intelligence agencies
Report tabled: 22/9/2014",Response tabled: 12/11/2015
"Review of the Criminal Code (Foreign Incursions and Recruitment - Declared Areas) Declaration 2014 – Al-Raqqa Province, Syria",Parliamentary Joint Committee on Intelligence and Security,"Review of the declaration of al-Raqqa province, Syria
Report tabled: 19/3/2015","Response presented: 23/7/2015
Response tabled: 10/8/2015"
"Review of the Criminal Code (Foreign Incursions and Recruitment – Declared Areas) Declaration 2015 – Mosul District, Ninewa Province, Iraq",Parliamentary Joint Committee on Intelligence and Security,"Review of the declaration of Mosul district, Ninewa province, Iraq
Report tabled: 16/6/2015","Response presented: 23/7/2015
Response tabled: 10/8/2015"
Review of the Criminal Code re-listing of Hizballah's External Security Organisation (ESO),Parliamentary Joint Committee on Intelligence and Security,"Review of the re-listing of Hizballah's External Security Organisation
Report tabled: 23/6/2015",Response tabled: 10/11/2015
Review of the Defence Annual Report 2012-13,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 28/10/2014,Response tabled: 16/6/2015
Review of the listing of Al-Murabitun,Parliamentary Joint Committee on Intelligence and Security,"Report presented: 16/12/2014
Report tabled: 9/2/2015",Response tabled: 12/5/2015
Review of the listing of Boko Haram as a terrorist organisation,Parliamentary Joint Committee on Intelligence and Security,"Review of the listing of Boko Haram; Review of the re-listing of the Islamic State
Report tabled: 22/9/2014",Response tabled: 12/5/2015
