inquiry,committee,report,response
Ability of Australian law enforcement authorities to eliminate gun-related violence in the community,Legal and Constitutional Affairs References Committee,"Report presented: 9/4/2015
Report tabled: 11/5/2015",Response tabled: 24/6/2021
Aboriginal Flag,Select Committee on the Aboriginal Flag,"Report presented: 13/10/2020
Report tabled: 9/11/2020",Response tabled: 17/3/2021
Accuracy of information provided to Defence Force Retirement and Death Benefits (DFRDB) members,"Foreign Affairs, Defence and Trade References Committee","Report presented: 2/7/2021
Report tabled: 3/8/2021",Response tabled: 2/12/2021
Adequacy of existing offences in the Commonwealth Criminal Code and of state and territory criminal laws to capture cyberbullying,Legal and Constitutional Affairs References Committee,"Adequacy of existing offences in the Commonwealth Criminal Code and of state and territory criminal laws to capture cyberbullying
Report tabled: 28/3/2018","Response presented: 15/4/2021
Response tabled: 11/5/2021"
"Administration of Government Grants: Inquiry into Auditor-General's Reports 5, 12 and 23 (2019-20)",Joint Committee of Public Accounts and Audit,"484th report
Report tabled: 8/12/2020",Response tabled: 21/10/2021
Australia's defence relationships with Pacific island nations,"Joint Standing Committee on Foreign Affairs, Defence and Trade","Report presented: 1/4/2021
Report tabled: 11/5/2021",Response tabled: 21/10/2021
Centrelink's compliance program,Community Affairs References Committee,"Interim report
Report tabled: 11/2/2020
Second interim report
Report tabled: 1/9/2020
Third interim report
Report tabled: 2/9/2020
Fourth interim report
Report tabled: 12/8/2021
Fifth interim report
Report tabled: 23/11/2021
Accountability and justice: Why we need a Royal Commission into Robodebt
Report presented: 13/5/2022
Report tabled: 26/7/2022","Second interim report
Response presented: 11/2/2021
Response tabled: 15/2/2021
Fifth interim report
Response presented: 13/10/2022
Response tabled: 25/10/2022
Accountability and justice: Why we need a Royal Commission into Robodebt
Response presented: 13/10/2022
Response tabled: 25/10/2022"
Certain aspects of the Department of Foreign Affairs and Trade Annual Report 2019-20 - Myanmar,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 24/6/2021,"Response presented: 16/12/2021
Response tabled: 8/2/2022"
Courts and Tribunals Legislation Amendment (2021 Measures No. 1) Bill 2021,Legal and Constitutional Affairs Legislation Committee,"Report presented: 13/8/2021
Report tabled: 23/8/2021",Response tabled: 23/11/2021
Crimes Legislation Amendment (Combatting Corporate Crime) Bill 2017,Legal and Constitutional Affairs Legislation Committee,"Crimes Legislation Amendment (Combatting Corporate Crime) Bill 2017
Report presented: 20/4/2018
Report tabled: 8/5/2018",Response tabled: 16/2/2021
Crimes Legislation Amendment (Combatting Corporate Crime) Bill 2019,Legal and Constitutional Affairs Legislation Committee,"Report presented: 17/3/2020
Report tabled: 23/3/2020",Response tabled: 16/2/2021
Current barriers to patient access to medicinal cannabis in Australia,Community Affairs References Committee,"Report presented: 25/3/2020
Report tabled: 8/4/2020","Response presented: 4/3/2021
Response tabled: 15/3/2021"
Dairy industry,Economics References Committee,"Australia's dairy industry: Rebuilding trust and a fair market for farmers
Report tabled: 17/8/2017",Response tabled: 24/6/2021
Diversifying Australia's trade and investment profile,Joint Standing Committee on Trade and Investment Growth,"Pivot: Diversifying Australia's trade and investment portfolio
Report tabled: 17/3/2021",Response tabled: 9/8/2021
Exemption of delegated legislation from parliamentary oversight,Standing Committee for the Scrutiny of Delegated Legislation,"Interim report
Report tabled: 2/12/2020
Final report
Report tabled: 16/3/2021","Interim report
Response presented: 18/11/2021
Response tabled: 22/11/2021"
Foreign bribery,Economics References Committee,"Foreign bribery
Report tabled: 28/3/2018",Response tabled: 16/2/2021
Future conduct of elections operating during times of emergency situations,Joint Standing Committee on Electoral Matters,Report tabled: 24/6/2021,Response tabled: 2/12/2021
General issues around the implementation and performance of the NDIS,Joint Standing Committee on the National Disability Insurance Scheme,"Report tabled: 10/12/2020
General issues 2021
Report tabled: 1/12/2021
Work of the committee in the 46th Parliament
Report presented: 4/4/2022
Report tabled: 26/7/2022","Response presented: 20/5/2021
Response tabled: 15/6/2021
General issues 2021
Response tabled: 9/2/2023"
Human organ trafficking and organ transplant tourism,"Joint Standing Committee on Foreign Affairs, Defence and Trade","Compassion, not commerce: an inquiry into human organ trafficking and organ transplant tourism
Report tabled: 5/12/2018","Response presented: 16/9/2021
Response tabled: 18/10/2021"
Illicit tobacco,Parliamentary Joint Committee on Law Enforcement,"Final report
Report tabled: 12/11/2020",Response tabled: 24/11/2021
Impact of seismic testing on fisheries and the marine environment,Environment and Communications References Committee,"Report presented: 10/6/2021
Report tabled: 15/6/2021",Response tabled: 23/11/2021
Implementation of the National Redress Scheme,Joint Select Committee on Implementation of the National Redress Scheme,"First interim report
Report presented: 7/5/2020
Report tabled: 12/5/2020
Second interim report
Report tabled: 23/11/2021
Final report - Redress: Journey to justice
Report tabled: 26/11/2024","First interim report
Response presented: 30/9/2021
Response tabled: 18/10/2021
Second interim report
Response presented: 27/7/2023
Response tabled: 31/7/2023
Final report
Response tabled: 4/3/2026"
Industrial Chemicals Environmental Management (Register) Bills 2020,Environment and Communications Legislation Committee,"Report presented: 11/3/2021
Report tabled: 15/3/2021","Response presented: 1/7/2021
Response tabled: 3/8/2021"
Lessons to be learned in relation to the Australian bushfire season 2019-20,Finance and Public Administration References Committee,"Interim report
Report tabled: 7/10/2020
Final report
Report tabled: 2/12/2021","Interim report
Response presented: 6/5/2021
Response tabled: 11/5/2021
Final report
Response presented: 9/5/2024
Response tabled: 14/5/2024"
Litigation funding and the regulation of the class action industry,Parliamentary Joint Committee on Corporations and Financial Services,"Report presented: 21/12/2020
Report tabled: 2/2/2021",Response tabled: 20/10/2021
Management of the Inland Rail project by the Australian Rail Track Corporation and the Commonwealth Government,Rural and Regional Affairs and Transport References Committee,"Inland Rail: derailed from the start
Report tabled: 11/8/2021","Response presented: 16/12/2021
Response tabled: 8/2/2022"
Military Training - Singapore,Joint Standing Committee on Treaties,"192nd report: Military Training - Singapore; Digital Economy - Singapore
Report tabled: 8/12/2020","Response presented: 29/4/2021
Response tabled: 11/5/2021"
NDIS Planning,Joint Standing Committee on the National Disability Insurance Scheme,"Interim report
Report tabled: 3/12/2019
Final report
Report tabled: 1/12/2020","Interim report
Response presented: 24/3/2020
Response tabled: 8/4/2020
Final report
Response tabled: 23/2/2021"
NDIS Workforce,Joint Standing Committee on the National Disability Insurance Scheme,"Interim report
Report tabled: 10/12/2020
Final report
Report tabled: 29/3/2022","Interim report
Response presented: 7/10/2021
Response tabled: 18/10/2021
Final report
Response tabled: 25/6/2024"
Number of women in Australia who have had transvaginal mesh implants and related matters,Community Affairs References Committee,Report tabled: 28/3/2018,"Response presented: 10/10/2018
Response tabled: 15/10/2018
Final report on the government response
Response presented: 29/7/2021
Response tabled: 3/8/2021"
OCCAR Managed Programmes Participation Agreement; Minamata Convention on Mercury,Joint Standing Committee on Treaties,"197th report
Report tabled: 1/9/2021",Response tabled: 23/11/2021
Performance of Australia's dairy industry and the profitability of Australian dairy farmers since deregulation in 2000,Rural and Regional Affairs and Transport References Committee,Report tabled: 18/3/2021,"Response presented: 16/12/2021
Response tabled: 8/2/2022"
Performance of the Australian Maritime Safety Authority,Rural and Regional Affairs and Transport Legislation Committee,Report tabled: 17/6/2020,"Response presented: 20/5/2021
Response tabled: 15/6/2021"
Regulation of the relationship between car manufacturers and car dealers in Australia (formerly General Motors Holden Operations in Australia),Education and Employment References Committee,"Driving a fairer deal
Report tabled: 18/3/2021",Response tabled: 2/9/2021
Regulator of Medicinal Cannabis Bill 2014,Legal and Constitutional Affairs Legislation Committee,Report tabled: 11/8/2015,Response tabled: 16/3/2021
Regulatory approaches to ensure the safety of pet food,Rural and Regional Affairs and Transport References Committee,"Regulatory approaches to ensure the safety of pet food
Report tabled: 16/10/2018","Response presented: 18/6/2021
Response tabled: 21/6/2021"
