inquiry,committee,report,response
"Administration, management and objective of Australia’s overseas development programs in Afghanistan in the context of the 'Transition Decade’","Foreign Affairs, Defence and Trade References Committee",Report tabled: 16/5/2013,Response tabled: 26/6/2014
Allocation of land to diplomatic missions in the ACT,Joint Standing Committee on the National Capital and External Territories,"An estate for the future
Report presented: 28/3/2013
Report tabled: 14/5/2013",Response tabled: 10/7/2014
Annual reports referred to committees,Community Affairs Legislation Committee,"No. 2 of 2012
Report tabled: 12/9/2013",Response tabled: 15/5/2014
Australia's food processing sector,Select Committee on Australia's Food Processing Sector,Report tabled: 16/8/2012,"Response presented: 20/11/2014
Response tabled: 24/11/2014"
Australia's overseas aid and development assistance program,"Foreign Affairs, Defence and Trade References Committee",Report tabled: 27/3/2014,"Response presented: 12/8/2014
Response tabled: 26/8/2014"
Aviation Accident Investigations,Rural and Regional Affairs and Transport References Committee,"Report presented: 23/5/2013
Report tabled: 17/6/2013",Response tabled: 20/3/2014
Breach of Indonesian Territorial Waters between 1 December 2013 and 20 January 2014 by Royal Australian Navy and/or Customs vessels in connection with Operation Sovereign Borders (the incidents),"Foreign Affairs, Defence and Trade References Committee",Report tabled: 27/3/2014,"Response presented: 27/6/2014
Response tabled: 7/7/2014"
Care of ADF personnel wounded and injured on operations,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 24/6/2013,Response tabled: 6/3/2014
Cyber-safety,Joint Select Committee on Cyber-Safety,"High-wire act: cyber-safety and the young - First interim report
Report tabled: 20/6/2011
Cybersafety for seniors: A worthwhile journey - Second interim report
Report presented: 16/4/2013
Report tabled: 14/5/2013","First interim report
Response tabled: 7/2/2012
Second interim report
Response tabled: 13/2/2014"
Delivery of quality and affordable early childhood education and care services,Education and Employment References Committee,"Delivery of quality and affordable early childhood education and care services
Report tabled: 16/7/2014
Immediate future of the childcare sector in Australia
Report tabled: 16/7/2014","Delivery of quality and affordable early childhood education and care services
Response tabled: 30/10/2014
Immediate future of the childcare sector in Australia
Response tabled: 30/10/2014"
Effectiveness of threatened species and ecological communities' protection in Australia,Environment and Communications References Committee,"Report presented: 7/8/2013
Report tabled: 12/11/2013","Response presented: 8/9/2014
Response tabled: 22/9/2014"
Examination of the Australian Crime Commission annual report 2011-12,Parliamentary Joint Committee on Law Enforcement,Report tabled: 16/5/2013,Response tabled: 20/3/2014
Family business in Australia,Parliamentary Joint Committee on Corporations and Financial Services,"Family businesses in Australia - different and significant: why they shouldn't be overlooked
Report tabled: 20/3/2013","Response presented: 7/10/2014
Response tabled: 27/10/2014"
Feasibility of a prohibition on charging fees for an unlisted number service,Environment and Communications References Committee,Report tabled: 15/5/2013,"Response presented: 6/2/2014
Response tabled: 11/2/2014"
"Framework and operation of subclass 457 visas, Enterprise Migration Agreements and Regional Migration Agreements",Legal and Constitutional Affairs References Committee,Report tabled: 27/6/2013,"Response presented: 20/8/2014
Response tabled: 26/8/2014"
Gathering and use of criminal intelligence,Parliamentary Joint Committee on Law Enforcement,Report tabled: 16/5/2013,Response tabled: 28/10/2014
Higher education and skills training to support future demand in agriculture and agribusiness in Australia.,Education and Employment References Committee,Report tabled: 21/6/2012,Response tabled: 2/10/2014
Implementation of the Defence Trade Controls Legislation,"Foreign Affairs, Defence and Trade Legislation Committee","Progress report no. 1
Report tabled: 27/6/2013
Progress report no. 2
Report tabled: 14/5/2014
Progress report no. 3
Report tabled: 18/3/2015","Progress report no. 1
Response presented: 8/1/2014
Response tabled: 11/2/2014
Progress report no. 2
Response tabled: 18/8/2015
Progress report no. 3
Response tabled: 18/8/2015"
"Indian Ocean region and Australia's foreign, trade and defence policy","Foreign Affairs, Defence and Trade References Committee","The importance of the Indian Ocean rim for Australia's foreign, trade and defence policy
Report presented: 14/6/2013
Report tabled: 17/6/2013",Response tabled: 6/3/2014
National Broadband Network,Select Committee on the National Broadband Network,"Interim report
Report tabled: 26/3/2014
Second interim report
Report tabled: 19/3/2015","Interim report
Response presented: 13/8/2014
Response tabled: 26/8/2014
Second interim report
Response presented: 19/6/2015
Response tabled: 22/6/2015"
Performance of the Australian Securities and Investments Commission,Economics References Committee,Report tabled: 26/6/2014,"Response presented: 23/10/2014
Response tabled: 27/10/2014"
Provision of amenity within the Parliamentary triangle,Joint Standing Committee on the National Capital and External Territories,Report tabled: 28/6/2013,Response tabled: 10/7/2014
Provision of childcare,Education and Employment References Committee,Report tabled: 23/11/2009,Response tabled: 19/6/2014
Public Governance Performance and Accountability Act 2013 (PGPA Act) Rules Development,Joint Committee of Public Accounts and Audit,"441st report
Report tabled: 14/5/2014",Response tabled: 25/9/2014
Public works on Christmas Island,Parliamentary Standing Committee on Public Works,Report tabled: 31/10/2011,Response tabled: 28/8/2014
"Report of the review of allegations of sexual and other abuse in Defence, conducted by DLA Piper, and the response of the Government to the report","Foreign Affairs, Defence and Trade References Committee",Report tabled: 27/6/2013,"Response presented: 5/5/2014
Response tabled: 13/5/2014"
Review of Auditor-General's reports nos 2 to 10 (2012-13),Joint Committee of Public Accounts and Audit,"437th Report
Report tabled: 17/6/2013",Response tabled: 26/6/2014
Review of the Citrus Industry in Australia,Rural and Regional Affairs and Transport References Committee,"Report presented: 16/12/2013
Report tabled: 11/2/2014","Response presented: 4/8/2014
Response tabled: 26/8/2014"
Review of the Defence annual report 2011-12,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 27/6/2013,Response tabled: 30/10/2014
Review of the listing of Jabhat al-Nusra and the re-listing of six terrorist organisations,Parliamentary Joint Committee on Intelligence and Security,"Review of the listing of Jabhat al-Nusra and the re-listing of six terrorist organisations; Review of the re-listing of Al-Qa'ida in the Arabian Peninsula
Report tabled: 12/2/2014",Response tabled: 28/8/2014
Review of the Treaties Ratification Bill 2012,Joint Standing Committee on Treaties,"128th report
Report tabled: 16/8/2012",Response tabled: 27/3/2014
Senate order for departmental and agency contracts,Finance and Public Administration References Committee,Report tabled: 14/5/2014,Response tabled: 25/11/2014
Senate Select Committee on School Funding,Select Committee on School Funding,"Equity and excellence in Australian schools
Report tabled: 9/7/2014",Response tabled: 2/10/2014
"Slavery, slavery-like conditions and people trafficking","Joint Standing Committee on Foreign Affairs, Defence and Trade","Trading lives: Modern day human trafficking
Report tabled: 24/6/2013",Response tabled: 28/10/2014
Spectrum for public safety mobile broadband,Parliamentary Joint Committee on Law Enforcement,"Report presented: 23/7/2013
Report tabled: 12/11/2013","Response presented: 21/11/2014
Response tabled: 24/11/2014"
"Status, health and sustainability of Australia's koala population",Environment and Communications References Committee,"The koala - saving our national icon
Report tabled: 22/9/2011","Response presented: 17/12/2014
Response tabled: 9/2/2015"
Supply of chemotherapy drugs such as Docetaxel,Community Affairs References Committee,"Report presented: 10/5/2013
Report tabled: 14/5/2013",Response tabled: 26/11/2014
Tasmanian Wilderness World Heritage Area,Environment and Communications References Committee,Report tabled: 15/5/2014,"Response presented: 8/10/2014
Response tabled: 27/10/2014"
Teaching and Learning (maximising our investment in Australian schools),Education and Employment References Committee,"Teaching and learning - maximising our investment in Australian schools
Report tabled: 14/5/2013",Response tabled: 25/11/2014
The effectiveness of the National Assessment Program - Literacy and Numeracy,Education and Employment References Committee,Report tabled: 27/3/2014,Response tabled: 28/8/2014
Ticket scalping in Australia,Economics References Committee,Report tabled: 26/3/2014,Response tabled: 19/6/2014
Treaties referred on 15 January 2014,Joint Standing Committee on Treaties,"137th report
Report tabled: 18/3/2014",Response tabled: 27/11/2014
Treaties tabled on 14 May 2013,Joint Standing Committee on Treaties,"136th report
Report tabled: 12/11/2013",Response tabled: 13/2/2014
Treaty tabled on 14 August 2012,Joint Standing Committee on Treaties,"130th report
Report tabled: 31/10/2012",Response tabled: 17/7/2014
