RobotoSlab-Regular	18	21	Australian Government Response
RobotoSlab-Regular	18	24	to the Final Report of the Royal Commission
RobotoSlab-Regular	18	27	into Defence and Veteran Suicide
OpenSans-Semibold	16	36	December 2024
OpenSans-Semibold	10	24	Acknowledgement of Country
OpenSans-Light	9	26	We acknowledge the Traditional Custodians of Country
OpenSans-Light	9	27	throughout Australia. We pay our respects to Elders
OpenSans-Light	9	29	past and present.
OpenSans-Light	9	31	We recognise and celebrate Aboriginal and Torres
OpenSans-Light	9	32	Strait Islander people as the First Peoples of Australia
OpenSans-Light	9	34	and their continuing spiritual and cultural connection
OpenSans-Light	9	36	to land, sea and community.
OpenSans-Semibold	10	39	Acknowledgement of Service
OpenSans-Light	10	41	We respect and give thanks to all who have served in About this document
OpenSans-Light	9	42	our defence force and their families.
OpenSans-Light	9	43	Enquiries about this publication should be directed
OpenSans-Light	9	44	We acknowledge the unique nature of military service to Department of Defence, Russell Offices, Canberra
OpenSans-Light	9	46	and the sacrifice demanded of all who commit to ACT 2600.
OpenSans-Light	9	48	defend our nation.
OpenSans-Light	9	48	This publication is available online at
OpenSans-Light	9	50	We undertake to preserve the memory and deeds of defence.gov.au/about/reviews-inquiries
OpenSans-Light	9	51	all who have served and promise to welcome, embrace,
OpenSans-Light	10	53	and support all military veterans as respected and Department of Defence Contact Details
OpenSans-Light	9	54	valued members of our community.
OpenSans-Light	9	55	Telephone: 1800 DEFENCE (1800 333 362)
OpenSans-Light	9	56	For what they have done, this we will do. The telephone enquiries service is available:
OpenSans-Light	9	58	7.30am to 7pm, Monday, Wednesday to Friday.
OpenSans-Light	9	59	7.30am to 10pm, Tuesday
OpenSans-Light	9	61	Published by the Department of Defence,
OpenSans-Light	9	62	Mail: Department of Defence, Russell Offices,
OpenSans-Light	9	63	© Commonwealth of Australia, 2024
OpenSans-Light	9	63	Canberra ACT 2600
OpenSans-Light	9	65	ISBN: 978-1-925890-98-3 (Print)
OpenSans-Light	9	65	Website: defence.gov.au
OpenSans-Light	9	66	ISBN: 978-1-925890-99-0 (Online)
OpenSans-Light	9	68	Social media: defence.gov.au/social-media
OpenSans-Semibold	10	69	Copyright Notice
OpenSans-Semibold	10	71	Department of Veterans’ Affairs contact details
OpenSans-Light	9	71	With the exception of the Commonwealth Coat of
OpenSans-Light	9	73	Arms, this document is licensed under a Creative Telephone: 1800 VETERAN (1800 838 372)
OpenSans-Light	9	74	Commons Attribution 4.0 International licence The telephone enquiries service is available between
OpenSans-Light	9	76	(CC BY 4.0) (creativecommons.org/licenses/by/4.0/). 8am and 5pm, Monday to Friday. A call back can
OpenSans-Light	9	77	be requested through the DVA website or through
OpenSans-Semibold	10	79	Use of the Coat of Arms MyService.
OpenSans-Light	9	81	The terms under which the Coat of Arms can be used Mail: Department of Veterans’ Affairs,
OpenSans-Light	9	83	are detailed on the following website pmc.gov.au/cca. GPO Box 9998, Brisbane QLD 4001
OpenSans-Light	9	85	Website: dva.gov.au
OpenSans-Semibold	10	86	Attribution
OpenSans-Light	9	87	Social media: dva.gov.au/about/media/social-media
OpenSans-Light	9	88	This publication should be attributed as follows:
OpenSans-Light	9	89	© Commonwealth of Australia, Australian Government Information on other ways to contact DVA, including
OpenSans-Light	9	91	Response to the Final Report of the Royal Commission media and provider enquiries, is available at
OpenSans-Light	9	92	into Defence and Veteran Suicide, 2024 dva.gov.au/contact.
OpenSans	6	97	CG: SEP025-24
