HelveticaNeue-Bold	40	Report
HelveticaNeue	20	Royal Commission into the Robodebt Scheme
HelveticaNeue-Bold	20	Report
HelveticaNeue-Bold	20	Volume 1
Calibri	11	This report talks about some difficult themes, including suicide, self-harm and mental ill-health.
Calibri	11	Readers may find parts of the report distressing. These are some support services which might be helpful if
Calibri	11	you or someone you know needs help:·
Calibri	11	• Lifeline 13 11 14 (24/7 crisis support line)
Calibri	11	• Beyond Blue 1300 224 636 (24/7 telephone, website or email short-term counselling)
Calibri	11	• Suicide Call Back Service 1300 659 467 (24/7 counselling for suicide prevention and mental health)
Calibri	11	© Commonwealth of Australia 2022
Calibri	11	Online: ISBN: 978-1-921241-58-1
Calibri	11	Print: ISBN: 978-1-921241-59-8
Calibri	11	With the exception of the Coat of Arms and where otherwise stated, all material presented in this
Calibri	11	publication is provided under a Creative Commons Attribution 4.0 International licence
Calibri	11	(www.creativecommons.org/licenses).
Calibri	11	For the avoidance of doubt, this means this licence only applies to material as set out in this document.
Calibri	11	The details of the relevant licence conditions are available on the Creative Commons website as is the full
Calibri	11	legal code for the CC BY 4.0 licence (www.creativecommons.org/licenses).
Calibri	11	Use of the Coat of Arms
Calibri	11	The terms under which the Coat of Arms can be used are detailed on the Department of the Prime
Calibri	11	Minister and Cabinet website (www.dpmc.gov.au/government/commonwealth-coat-arms).
Calibri	15	Royal Commission
Calibri	11	into the Robodebt Scheme
Calibri	11	7 July 2023
Calibri	11	His Excellency General the Honourable David Hurley AC DSC (Retd)
Calibri	11	Governor-General of the Commonwealth of Australia
Calibri	11	Government House
Calibri-Bold	11	CANBERRA ACT 2600
Calibri	11	Your Excellency
Calibri-Bold	11	Report of the Royal Commission into the Robodebt Scheme
Calibri	11	In accordance with the Letters Patent issued to me on 18 August 2022, and amendments to the Letters
Calibri	11	Patent issued on 16 February and 11 May 2023, I have made inquiries and now have the honour to
Calibri	11	present to you the Report of the Royal Commission into the Robodebt Scheme.
Calibri	11	I have provided to you an additional chapter of the report which has not been included in the bound
Calibri	11	report and is sealed. It recommends the referral of individuals for civil action or criminal prosecution. I
Calibri	11	recommend that this additional chapter remain sealed and not be tabled with the rest of the report so
Calibri	11	as not to prejudice the conduct of any future civil action or criminal prosecution.
Calibri	11	I am also submitting relevant parts of the additional chapter of the report to heads of various
Calibri	11	Commonwealth agencies; the Australian Public Service Commissioner, the National Anti-Corruption
Calibri	11	Commissioner, the President of the Law Society of the Australian Captial Territory and the Australian
Calibri	11	Federal Police.
Calibri	11	I also return herewith the Letters Patent.
Calibri	11	Yours faithfully
Calibri-Bold	11	Catherine Holmes AC SC
Calibri	11	Royal Commissioner
Calibri-Bold	10	Phone: 1800 317 002 | Email: RRC.enquiries@royalcommission.gov.au | GPO Box 546, Brisbane QLD 4001
Calibri-Bold	24	Contents
Calibri-Bold	13	Letter of transmittal
Calibri-Bold	13	Introductory Section ...................................................................................................... i
Calibri	13	Preface ......................................................................................................................... iii
Calibri	13	Introduction .................................................................................................................. v
Calibri	13	List of recommendations ........................................................................................... xiii
Calibri	13	Overview .................................................................................................................. xxiii
Calibri	13	Timeline of Robodebt ............................................................................................... xxxi
Calibri	13	Phases of Robodebt ................................................................................................ xxxiii
Calibri	13	1 Legal and historical context of the Scheme ............................................................... 1
Calibri-Bold	13	Section 2. Chronology of the Robodebt scheme ......................................................... 21
Calibri	13	2 Overview of the origins of Robodebt ....................................................................... 23
Calibri	13	3 2014 – Conceptual development ............................................................................. 35
Calibri	13	4 2015 – Articulation of the Scheme and the new policy proposal ............................ 55
Calibri	13	5 2015 to 2016 – Implementaton of the Scheme ..................................................... 119
Calibri	13	6 2017, Part A – A crescendo of criticism ................................................................. 153
Calibri	13	7 2017, Part B – Inquiries and investigations ............................................................ 205
Calibri	13	8 2018 – The Scheme rolls on ................................................................................... 257
Calibri	13	9 2019 – The end of Robodebt ................................................................................. 285
Calibri-Bold	13	Section 3. Effects of the Scheme ............................................................................... 323
Calibri	13	10 Effects of Robodebt on individuals ...................................................................... 325
Calibri	13	11 The concept of vulnerability ................................................................................ 347
Calibri	13	12 The roles of advocacy groups and legal services ................................................. 361
Calibri	13	13 Experience of Human Services employees .......................................................... 383
Calibri	13	14 Economic costs .................................................................................................... 399
Calibri	13	15 Failures in the Budget process ............................................................................. 421
Calibri-Bold	13	Section 4. Automation and data matching ................................................................ 443
Calibri	13	16 Data matching and exchanges ............................................................................. 445
Calibri	13	17 Automated decision making ................................................................................ 469
Calibri-Bold	13	Section 5. Debts ........................................................................................................ 495
Calibri	13	18 Debt recovery and debt collectors ....................................................................... 497
Calibri-Bold	13	Section 6. Checks and balances ................................................................................. 515
Calibri	13	19 Lawyers and legal services ................................................................................... 517
Calibri	13	20 The Administrative Appeals Tribual ..................................................................... 551
Calibri	13	21 The Commonwealth Ombudsman ....................................................................... 571
Calibri	13	22 The Office of the Australian Information Commissioner ..................................... 607
Calibri-Bold	13	Secton 7. The Australian Public Service ..................................................................... 633
Calibri	13	23 Improving the APS ............................................................................................... 635
Calibri-Bold	13	Closing observations ................................................................................................. 655
Calibri-Bold	13	Appendix
Calibri	13	1 Glossary .................................................................................................................... iii
Calibri	13	2 Dramatis personae .................................................................................................. xiii
Calibri	13	3 Hearings witness schedule .................................................................................... xxiii
Calibri	13	4 List of legislation ................................................................................................... xxvii
Calibri	13	5 Summary of legal advices ...................................................................................... xxix
Calibri	13	6 Budget Measures Map ....................................................................................... xxxviii
Calibri	13	7 Submissions ............................................................................................................. xli
Calibri	13	8 Letters to the AG ..................................................................................................... lvii
Calibri	13	9 Review of AAT Decisions .......................................................................................... lxi
Calibri	13	10 RRC Staff List ................................................................................................... cccxxix
Calibri	55	Introductory
Calibri	55	Section
Calibri	12	ii Royal Commission into the Robodebt Scheme
Calibri-Bold	27	Preface
Calibri	11	At the outset of my inquiry, I had anticipated that the Commission would uncover how such a patently
Calibri	11	unreliable methodology as income averaging, without other evidence, to determine entitlement to
Calibri	11	benefit could become part of an Australian Government debt raising and recovery scheme. What has been
Calibri	11	startling in the Commission’s investigation of the Robodebt scheme has been the myriad of other ways in
Calibri	11	which it failed the public interest.
Calibri	11	It is remarkable how little interest there seems to have been in ensuring the Scheme’s legality, how rushed
Calibri	11	its implementation was, how little thought was given to how it would affect welfare recipients and the
Calibri	11	lengths to which public servants were prepared to go to oblige ministers on a quest for savings. Truly
Calibri	11	dismaying was the revelation of dishonesty and collusion to prevent the Scheme’s lack of legal foundation
Calibri	11	coming to light. Equally disheartening was the ineffectiveness of what one might consider institutional
Calibri	11	checks and balances – the Commonwealth Ombudsman’s Office, the Office of Legal Services Coordination,
Calibri	11	the Office of the Australian Information Commissioner and the Administrative Appeals Tribunal – in
Calibri	11	presenting any hindrance to the Scheme’s continuance.
Calibri	11	The report makes a number of recommendations. Some are directed at strengthening the public service
Calibri	11	more broadly, some to improving the processes of the Department of Social Services and Services
Calibri	11	Australia. Others are concerned with reinforcing the capability of oversight agencies. A sealed chapter
Calibri	11	contains referrals of information concerning some persons for further investigation by other bodies. That
Calibri	11	in part is intended as a means of holding individuals to account, in order to reinforce the importance of
Calibri	11	public service officers’ acting with integrity.
Calibri	11	But as to how effective any recommended change can be, I want to make two points. First, whether a
Calibri	11	public service can be developed with sufficient robustness to ensure that something of the like of the
Calibri	11	Robodebt scheme could not occur again will depend on the will of the government of the day, because
Calibri	11	culture is set from the top down.
Calibri	11	Second, politicians need to lead a change in social attitudes to people receiving welfare payments. The
Calibri	11	evidence before the Commission was that fraud in the welfare system was miniscule, but that is not the
Calibri	11	impression one would get from what ministers responsible for social security payments have said over
Calibri	11	the years. Anti-welfare rhetoric is easy populism, useful for campaign purposes. It is not recent, nor is it
Calibri	11	confined to one side of politics, as some of the quoted material in this report demonstrates. It may be that
Calibri	11	the evidence in this Royal Commission has gone some way to changing public perceptions. But largely,
Calibri	11	those attitudes are set by politicians, who need to abandon for good (in every sense) the narrative of
Calibri	11	taxpayer versus welfare recipient.
Calibri	11	My thanks go to Counsel Assisting, the Official Secretary, the Solicitors Assisting, the legal and research
Calibri	11	teams, the media officers and the administrative staff of the Royal Commission for their stalwart efforts in
Calibri	11	bringing together hearings at short notice and in working to analyse massive amounts of evidence for the
Calibri	11	preparation of this report. It has been an arduous ten months, with many late nights and missed weekends.
Calibri	12	ii Royal Commission into the Robodebt Scheme Royal Commission into the Robodebt Scheme iii
Calibri	12	iv Royal Commission into the Robodebt Scheme
Calibri-Bold	27	Introduction
Calibri	11	The Royal Commission into the Robodebt Scheme was established by Letters Patent on 18 August 2022
Calibri	11	under the Royal Commissions Act 1902 (Cth) to inquire into the Robodebt Scheme (the Scheme), and I
