REM-Bold	25	15	The Australian Government response
REM-Bold	25	19	to the Disability Royal Commission
REM-Regular	14	27	Easy Read version
REM-Light	14	36	Helen Butcher created the art on the front cover of this document.
REM-Light	14	41	She is an artist. Her picture is called ‘Belonging’.
REM-Light	14	46	It is about inclusion.
REM-Light	14	50	She made this art for the Australian Government Response
REM-Light	14	54	to the Disability Royal Commission.
REM-Light	14	58	We thank Helen for sharing her art with us.
REM-Light	14	63	Cover artwork © Helen Butcher / Copyright Agency, 2024
REM-Bold	23	8	What’s in this document?
REM-Light	14	14	How to use this document 4
REM-Light	14	19	What was the Disability Royal Commission? 7
REM-Light	14	23	What are the recommendations? 8
REM-Light	14	28	What is the Australian Government Response? 9
REM-Light	14	33	Our response to the recommendations 15
REM-Light	14	37	Part 4: The rights of people with disability 16
REM-Light	14	42	Part 5: Guiding government plans 19
REM-Light	14	46	Part 6: Being accessible and people’s choices 21
REM-Light	14	51	Part 7: Education, housing and employment 24
REM-Light	14	55	Part 8: The justice system 27
REM-Light	14	60	Part 9: First Nations people with disability 29
REM-Light	14	64	Part 10: Safe services for people with disability 30
REM-Light	14	69	Part 11: Managing and reporting problems 32
REM-Light	14	74	Part 12: What happens after the Disability Royal Commission 34
REM-Light	14	78	Where you can find support 36
REM-Light	14	83	Word list 41
REM-Light	14	87	Contact us 46
REM-Bold	12	96	Page 3
REM-Bold	23	8	How to use this document
REM-Regular	21	15	We
REM-Light	14	16	The Australian Government wrote this document.
REM-Light	14	20	When you see the word ‘we’, it means
REM-Light	14	24	the Australian Government.
REM-Light	14	33	We wrote this document in an easy to read way.
REM-Light	14	38	We use pictures to explain some ideas.
REM-Light	14	47	We wrote some important words in bold.
REM-Light	14	52	This means the letters are thicker and darker.
REM-Regular	14	60	Word list
REM-Light	14	62	We explain what these words mean.
REM-Light	14	67	There is a list of these words on page 41.
REM-Light	14	76	This is an Easy Read summary of
REM-Light	14	80	another document.
REM-Light	14	84	This means it only includes the most
REM-Light	14	88	important ideas.
REM-Bold	12	96	Page 4
REM-Light	14	13	You can find the other document on
REM-Light	14	16	our website.
