RobotoSlab-Bold	18	21	Australian Government Response
RobotoSlab-Regular	18	24	to the Interim Report of the Royal Commission
RobotoSlab-Regular	18	27	into Defence and Veteran Suicide
OpenSans-Semibold	16	36	September 2022
OpenSans	10	95	Australian Government Response to the Interim Report of the Royal Commission into Defence and Veteran Suicide 1
OpenSans-Semibold	10	15	About this document
OpenSans-Light	9	17	Enquiries about this publication should be directed to:
OpenSans-Light	9	19	DVA Royal Commission Taskforce (RCRIIT)
OpenSans-Light	9	21	GPO Box 9998,
OpenSans-Light	9	23	Brisbane QLD 4001
OpenSans-Light	9	25	Enquiries can also be submitted via the DVA website
OpenSans-Light	9	26	dva.gov.au/contact-us
OpenSans-Light	9	29	This publication is available online at
OpenSans-Semibold	10	29	Acknowledgement of Country
OpenSans-Light	9	30	dva.gov.au/publications
OpenSans-Light	9	31	We acknowledge the Traditional Custodians of Country
OpenSans-Light	9	33	throughout Australia. We pay our respects to Elders
OpenSans-Semibold	10	33	Department of Veterans’ Affairs contact details
OpenSans-Light	9	34	past and present.
OpenSans-Light	9	35	Telephone: 1800 VETERAN (1800 838 372)
OpenSans-Light	9	37	We recognise and celebrate Aboriginal and Torres The telephone enquiries service is available between
OpenSans-Light	9	38	Strait Islander people as the First Peoples of Australia 8am and 5pm, Monday to Friday. A call back can
OpenSans-Light	9	40	and their continuing spiritual and cultural connection be requested through the DVA website or through
OpenSans-Light	9	41	to land, sea and community. MyService.
OpenSans-Light	9	44	Mail: Department of Veterans’ Affairs,
OpenSans-Semibold	10	44	Acknowledgement of Service
OpenSans-Light	9	45	GPO Box 9998, Brisbane QLD 4001
OpenSans-Light	9	46	We respect and give thanks to all who have served in
OpenSans-Light	9	47	Website: dva.gov.au
OpenSans-Light	9	48	our defence force and their families.
OpenSans-Light	9	50	Social media: facebook.com/DVAAus;
OpenSans-Light	9	50	We acknowledge the unique nature of military service
OpenSans-Light	9	51	twitter.com/DVAAus; youtube.com/DVATVAus
OpenSans-Light	9	52	and the sacrifice demanded of all who commit to
OpenSans-Light	9	53	defend our nation. Information on other ways to contact DVA, including
OpenSans-Light	9	55	media and provider enquiries, is available at
OpenSans-Light	9	55	We undertake to preserve the memory and deeds of
OpenSans-Light	9	56	dva.gov.au/contact.
OpenSans-Light	9	57	all who have served and promise to welcome, embrace,
OpenSans-Light	9	58	and support all military veterans as respected and
OpenSans-Semibold	10	59	Department of Defence contact details
OpenSans-Light	9	60	valued members of our community.
OpenSans-Light	9	61	Telephone: 1800 DEFENCE (1800 333 362)
OpenSans-Light	9	62	For what they have done, this we will do.
OpenSans-Light	9	63	The telephone enquiries service is available:
OpenSans-Light	9	65	7.30am to 7pm, Monday
OpenSans-Light	9	66	7.30am to 10pm, Tuesday
OpenSans-Light	9	67	Published by the Department of Veterans’ Affairs
OpenSans-Light	9	68	7.30am to 7pm, Wednesday to Friday.
OpenSans-Light	9	68	Canberra 2022
OpenSans-Light	9	70	Mail: Department of Defence
OpenSans-Light	9	70	ISBN 978-0-6451779-5-4
OpenSans-Light	9	71	Russell Offices
OpenSans-Light	9	73	Canberra ACT 2600
OpenSans-Semibold	10	74	Copyright
OpenSans-Light	9	75	Unless otherwise noted, copyright (and other Website: defence.gov.au
OpenSans-Light	9	77	intellectual property rights, if any) in this publication
OpenSans-Light	9	77	Social media: defence.gov.au/social-media
OpenSans-Light	9	79	is owned by the Commonwealth of Australia. With the
OpenSans-Light	9	80	exception of the Coat of Arms and all photographs and
OpenSans-Semibold	10	81	Open Arms—Veterans & Families Counselling
OpenSans-Light	9	82	graphics, this publication is licensed under a Creative
OpenSans-Light	9	83	Open Arms—Veterans & Families Counselling (Open
OpenSans-Light	9	83	Commons Attribution 3.0 Australia Licence. The
OpenSans-Light	9	84	Arms) is a national mental health service that provides
OpenSans-Light	9	85	Creative Commons Attribution 3.0 Australia Licence is
OpenSans-Light	9	86	free and confidential counselling, group programs and
OpenSans-Light	9	86	a standard form licence agreement that allows you to
OpenSans-Light	9	87	suicide prevention training for current and ex-serving
OpenSans-Light	9	88	copy, distribute, transmit and adapt this publication
OpenSans-Light	9	89	ADF personnel and their families.
OpenSans-Light	9	89	provided that you attribute the work. The full licence
OpenSans-Light	9	91	terms are available from www.creativecommons.org/ Open Arms is available 24/7—1800 011 046.
OpenSans-Light	9	92	licenses/by/3.0/au/legalcode. OpenArms.gov.au
OpenSans	6	93	P04488
RobotoSlab-Bold	21	11	Contents
OpenSans-Semibold	11	18	Foreword 4
OpenSans-Semibold	11	22	Introduction 5
OpenSans-Semibold	11	27	Australian Government Response to Recommendations 6
OpenSans-Semibold	10	30	Recommendation 1:
