Aptos	14	3	PROTECTED//CABINET
Aptos	28	49	AUSTRALIAN GOVERNMENT
Aptos	28	53	RESPONSE
Aptos	18	57	to the Interim Report of the Royal Commission
Aptos	18	60	on Antisemitism and Social Cohesion
Aptos	16	90	May 2026
Aptos	10	55	© Commonwealth of Australia 2026
Aptos	10	57	With the exception of the Commonwealth Coat of Arms, all material presented in this
Aptos	10	59	publication is provided under a Creative Commons Attribution 4.0 International license at
Aptos	10	60	https://creativecommons.org/licenses/by/4.0/legalcode.
Aptos	10	63	This means this license only applies to material as set out in this document.
Aptos	10	69	The details of the relevant license conditions are available on the Creative Commons
Aptos	10	70	website at https://creativecommons.org/ as is the full legal code for the CC BY 4.0 license
Aptos	10	72	at https://creativecommons.org/licenses/by/4.0/legalcode.
Aptos-Bold	10	74	Use of the Coat of Arms
Aptos	10	76	The terms under which the Coat of Arms can be used are detailed at the Department of
Aptos	10	78	Prime Minister and Cabinet website—www.pmc.gov.au/government/commonwealth-
Aptos	10	80	coat-arms.
Aptos-Bold	10	82	Contact us
Aptos	10	84	Enquiries regarding the licence and any use of this document are welcome at:
Aptos	10	87	Department of Home Affairs
Aptos	10	88	PO Box 25
Aptos	10	90	BELCONNEN ACT 2616
Aptos	10	93	1
Aptos	26	7	Foreword
Aptos	10	13	Australia is a country where everyone should be able to be safe and feel safe. The attack at
Aptos	10	15	Bondi on 14 December 2025 was an antisemitic terrorist attack on people practicing their
Aptos	10	16	faith and sharing their traditions. It was an attack on Australia.
Aptos	10	19	The Royal Commission on Antisemitism and Social Cohesion has already delivered
Aptos	10	21	critical answers about the ongoing work of protecting Australians and strengthening
Aptos	10	22	social cohesion. The Interim Report makes clear that our existing legal and regulatory
Aptos	10	24	frameworks did not hinder our agencies in preventing or responding to the Bondi attack,
Aptos	10	26	and that no urgent legislative changes are required to keep Australians safe. However,
Aptos	10	27	the Royal Commission also notes that we must strengthen prevention, detection and
Aptos	10	29	responses to antisemitism.
Aptos	10	32	The Australian Government accepts the recommendations relevant to the Commonwealth
Aptos	10	33	and is working with states and territories on those requiring a national approach.
Aptos	10	35	The purpose of the interim report is to allow us to begin work on these recommendations
Aptos	10	37	without needing to wait until the end of the Royal Commission process.
Aptos	10	40	We will deliver clearer national crisis coordination, strengthened information sharing
Aptos	10	41	and enhanced operational readiness. In the months since the attack we have already
Aptos	10	43	strengthened support for victims and families, expanded protective security for Jewish
Aptos	10	44	schools, synagogues, community centres and events, and increased our focus on
Aptos	10	46	identifying and disrupting those who incite or plan violence.
Aptos	10	49	Australians rightly expect leadership from a government that is united in its commitment
Aptos	10	51	to call out antisemitism, reject intimidation and violence, and insist that there can
Aptos	10	52	be no excuse for hatred. This response sets out the actions we are taking now.
Aptos	10	54	Some recommendations are included in the Royal Commission’s confidential report
Aptos	10	55	and have been accepted and addressed in a confidential Government response.
Aptos	10	58	We acknowledge the Commission, and the security, intelligence, law enforcement and
Aptos	10	60	emergency services personnel, including state and territory partners, who have supported
Aptos	10	62	its work. We also thank the Australian Jewish community and all communities affected
Aptos	10	63	by hatred and violence for their participation in this process. Our commitment is clear.
Aptos	10	65	We will implement these recommendations, and continue the work of protecting an
Aptos	10	66	Australia where people can be and feel safe.
Aptos-Bold	10	71	The Hon Tony Burke MP The Hon Michelle Rowland MP
Aptos	10	72	Minister for Home Affairs Attorney-General
Aptos	10	93	2
Aptos	26	4	About the Royal Commission on
Aptos	26	8	Antisemitism and Social Cohesion
Aptos	10	14	The Royal Commission on Antisemitism and Social Cohesion was established in response to the
Aptos	10	15	horrific antisemitic terrorist attack at Bondi, Sydney on 14 December 2025.
Aptos	10	18	On 21 December 2025, the Prime Minister announced the establishment of a review, to be led by
Aptos	10	20	Dennis Richardson AC, to examine federal law enforcement and intelligence agencies' legislative
Aptos	10	21	powers, structures, processes and sharing arrangements.
Aptos	10	24	On 8 January 2026, the Royal Commission was established by Letters Patent. Former High Court
Aptos	10	26	Justice the Honourable Virginia Bell AC SC was appointed as the Commissioner. Mr Richardson's
Aptos	10	28	review was incorporated into the Royal Commission. The terms of reference for the Royal Commission
Aptos	10	29	were set out in Letters Patent and included considering recommendations for law enforcement,
Aptos	10	31	border control, immigration and security agencies to tackle antisemitism, examining the
Aptos	10	32	circumstances of the Bondi attack and recommending actions to strengthen social cohesion.
Aptos	10	35	The Royal Commission released its Interim Report on 30 April 2026. The Interim Report makes
Aptos	10	37	14 recommendations relating to national counter-terrorism arrangements and policies,
Aptos	10	39	law enforcement procedures and information sharing. The Government accepts all recommendations
Aptos	10	40	that relate to the Commonwealth and is committed to working with states and territories to
Aptos	10	42	strengthen our collective response.
Aptos	10	93	3
Aptos	26	8	Our actions to date
Aptos	10	14	The antisemitic terrorist attack at Bondi Beach on 14 December 2025 was a devastating shock to
Aptos	10	16	the Australian community and an intolerable attack on modern Australia and our way of life.
